id,author,status
41,Donald J. Trump,"The U.S., under my administration, is completely rebuilding its military, and they're spending hundreds of billions… https://t.co/2sIwl0TH9x"
42,Donald J. Trump,"Join me LIVE in South Korea🇺🇸🇰🇷
#NationalAssembly #POTUSinAsia 
➡️https://t.co/M3iEhPdkas https://t.co/hSxdtd2UnY"
43,Donald J. Trump,"Ed Gillespie worked hard but did not embrace me or what I stand for. Don’t forget, Republicans won 4 out of 4 House… https://t.co/HODixMtPNw"
44,Donald J. Trump,"Getting ready to make a major speech to the National Assembly here in South Korea, then will be headed to China whe… https://t.co/mEfWXmpzRw"
45,Donald J. Trump,Thank you to all Americans who participated in Nat'l Rx Drug Take Back Day. A record amount of drugs collected &amp; disposed. We can do this!
46,Donald J. Trump,"Franklin, such a great photo. 

HAPPY 99th BIRTHDAY to your father, @BillyGraham! https://t.co/l0c7RvvOa1"
47,Donald J. Trump,".@EdWGillespie will totally turn around the high crime and poor economic performance of VA. MS-13 and crime will be gone. Vote today, ASAP!"
48,Donald J. Trump,....and has been horrible on Virginia economy. Vote @EdWGillespie today!
49,Donald J. Trump,"Ralph Northam will allow crime to be rampant in Virginia. He’s weak on crime, weak on our GREAT VETS, Anti-Second Amendment...."
50,Donald J. Trump,"....is making. Working very hard on TAX CUTS for the middle class, companies and jobs!"
51,Donald J. Trump,Stock market hit yet another all-time record high yesterday. There is great confidence in the moves that my Administration....
52,Donald J. Trump,Thank you to President Moon of South Korea for the beautiful welcoming ceremony. It will always be remembered. https://t.co/bMvJz1iV2a
53,Donald J. Trump,"It was my great honor to have lunch with our INCREDIBLE U.S. and ROK troops at Camp Humphreys, in South Korea. 🇺🇸🇰🇷… https://t.co/QJtVR498yK"
54,Donald J. Trump,"RT @AbeShinzo: トランプ大統領による、初の、歴史的な日本訪問は、間違いなく、日米同盟の揺るぎない絆を世界に示すことができました。

本当にありがとう、ドナルド。そして、アジア歴訪の大成功をお祈りしています。

@realDonaldTrump https://t.…"
55,Donald J. Trump,....Some of those they are harshly treating have been “milking” their country for years!
56,Donald J. Trump,"I have great confidence in King Salman and the Crown Prince of Saudi Arabia, they know exactly what they are doing...."
57,Donald J. Trump,"Getting ready to leave for South Korea and meetings with President Moon, a fine gentleman. We will figure it all out!"
58,Donald J. Trump,"My visit to Japan and friendship with PM Abe will yield many benefits, for our great Country. Massive military &amp; energy orders happening+++!"
59,Donald J. Trump,"The state of Virginia economy, under Democrat rule, has been terrible. If you vote Ed Gillespie tomorrow, it will come roaring back!"
60,Donald J. Trump,#USA🇺🇸 #Japan🇯🇵 https://t.co/EvxFqAVnFS
61,Donald J. Trump,...Americans do what we do best: we pull together. We join hands. We lock arms and through the tears and the sadnes… https://t.co/CTtTeWjVHX
62,Donald J. Trump,"May God be w/ the people of Sutherland Springs, Texas. The FBI &amp; law enforcement are on the scene. I am monitoring the situation from Japan."
63,Donald J. Trump,Heading into the 12 days with great negotiating strength because of our tremendous economy. https://t.co/4HnXkR3EhW
64,Donald J. Trump,It was a true honor to be at Yokota Air Base with our GREAT @USForcesJapan! https://t.co/KEXnIkkQks
65,Donald J. Trump,"Playing golf with Prime Minister Abe and Hideki Matsuyama, two wonderful people! https://t.co/vYLULe0o2K"
66,Donald J. Trump,"Just gave a speech to the great men and women at Yokota Air Base in Tokyo, Japan. Leaving to see Prime Minister Abe. https://t.co/6LRAgojvDB"
67,Donald J. Trump,I am landing shortly. Can’t wait to be with our GREAT MILITARY. See you soon! https://t.co/AVLrrOxmm4
68,Donald J. Trump,Would very much appreciate Saudi Arabia doing their IPO of Aramco with the New York Stock Exchange. Important to the United States!
69,Donald J. Trump,"Unemployment is down to 4.1%, lowest in 17 years. 1.5 million new jobs created since I took office. Highest stock Market ever, up $5.4 trill"
70,Donald J. Trump,RT @IvankaTrump: Touched by the warm hospitality of Prime Minister Abe and the Japanese people. ありがとうございます [Thank you]! Until next time 🇯🇵…
71,Donald J. Trump,"Thank you to our GREAT Military/Veterans and @PacificCommand.

Remember #PearlHarbor. Remember the @USSArizona!

A… https://t.co/30rtKwqU98"
72,Donald J. Trump,Thank you for such a beautiful welcome Hawaii. My great honor to visit @PacificCommand upon arrival. Heading to Pea… https://t.co/Yr6OZitxGR
73,Donald J. Trump,Getting ready to land in Hawaii. Looking so much forward to meeting with our great Military/Veterans at Pearl Harbor!
74,Donald J. Trump,The decision on Sergeant Bergdahl is a complete and total disgrace to our Country and to our Military.
75,Donald J. Trump,"JOBS, JOBS, JOBS! https://t.co/twUNktGbnb"
76,Donald J. Trump,"The rigged Dem Primary, one of the biggest political stories in years, got ZERO coverage on Fake News Network TV last night. Disgraceful!"
77,Donald J. Trump,"Just took off for ceremony @ Pearl Harbor. Will then be heading to Japan, SKorea, China, Vietnam &amp; the Philippines. Will never let you down!"
78,Donald J. Trump,"I always felt I would be running and winning against Bernie Sanders, not Crooked H, without cheating, I was right."
79,Donald J. Trump,Bernie Sanders supporters have every right to be apoplectic of the complete theft of the Dem primary by Crooked Hillary!
80,Donald J. Trump,"...Based on that, the Military has hit ISIS ""much harder"" over the last two days. They will pay a big price for every attack on us!"
81,Donald J. Trump,"ISIS just claimed the Degenerate Animal who killed, and so badly wounded, the wonderful people on the West Side, was ""their soldier."" ....."
82,Donald J. Trump,"Pocahontas just stated that the Democrats, lead by the legendary Crooked Hillary Clinton, rigged the Primaries! Lets go FBI &amp; Justice Dept."
83,Donald J. Trump,The real story on Collusion is in Donna B's new book. Crooked Hillary bought the DNC &amp; then stole the Democratic Primary from Crazy Bernie!
84,Donald J. Trump,"....People are angry.  At some point the Justice Department, and the FBI, must do what is right and proper. The American public deserves it!"
85,Donald J. Trump,"...New Donna B book says she paid for and stole the Dem Primary. What about the deleted E-mails, Uranium, Podesta, the Server, plus, plus..."
86,Donald J. Trump,Everybody is asking why the Justice Department (and FBI) isn't looking into all of the dishonesty going on with Crooked Hillary &amp; the Dems..
87,Donald J. Trump,My Twitter account was taken down for 11 minutes by a rogue employee. I guess the word must finally be getting out-and having an impact.
88,Donald J. Trump,I will be interviewed by @IngrahamAngle on @FoxNews at 10:00. Enjoy!
89,Donald J. Trump,The @TuckerCarlson opening statement about our once cherished and great FBI was so sad to watch. James Comey's leadership was a disaster!
90,Donald J. Trump,....This is real collusion and dishonesty. Major violation of Campaign Finance Laws and Money Laundering - where is our Justice Department?
91,Donald J. Trump,Donna Brazile just stated the DNC RIGGED the system to illegally steal the Primary from Bernie Sanders. Bought and paid for by Crooked H....
92,Donald J. Trump,"Great Tax Cut rollout today. The lobbyists are storming Capital Hill, but the Republicans will hold strong and do what is right for America!"
93,Donald J. Trump,"Today, it was my pleasure and great honor to announce my nomination of Jerome Powell to be the next Chairman of the… https://t.co/32kLFYbbuq"
94,Donald J. Trump,"Broadcom's move to America=$20 BILLION of annual rev into U.S.A., $3+ BILLION/yr. in research/engineering &amp; $6 BILL… https://t.co/0PUrl6k86K"
95,Donald J. Trump,"Today, we are thrilled to welcome @Broadcom CEO Hock Tan to the WH to announce he is moving their HQ’s from Singapo… https://t.co/iSUzEbrn0c"
96,Donald J. Trump,Congress must end chain migration so that we can have a system that is SECURITY BASED! We need to make AMERICA SAFE… https://t.co/nxEDGfXlV9
97,Donald J. Trump,I am calling on Congress to TERMINATE the diversity visa lottery program that presents significant vulnerabilities… https://t.co/GcHKCxTNyF
98,Donald J. Trump,"Congratulations to the Houston @Astros, 2017 #WorldSeries Champions⚾️#HoustonStrong #EarnHistory https://t.co/BP7OEzdhFi"
99,Donald J. Trump,...There is also something appropriate about keeping him in the home of the horrible crime he committed. Should move fast. DEATH PENALTY!
100,Donald J. Trump,Would love to send the NYC terrorist to Guantanamo but statistically that process takes much longer than going through the Federal system...
101,Donald J. Trump,"NYC terrorist was happy as he asked to hang ISIS flag in his hospital room. He killed 8 people, badly injured 12. SHOULD GET DEATH PENALTY!"
102,Donald J. Trump,"Great mtg w/ @Cabinet today. Tomorrow, I will be announcing the new head of the Fed. I think you will be extremely… https://t.co/dKtJBjGlYe"
103,Donald J. Trump,"Happy birthday to @garyplayer, a truly great Champion and Person!"
104,Donald J. Trump,It is finally happening for our great clean coal miners! https://t.co/suAnjs6Ccz
105,Donald J. Trump,The United States will be immediately implementing much tougher Extreme Vetting Procedures. The safety of our citizens comes first!
106,Donald J. Trump,Just spoke to President Macri of Argentina about the five proud and wonderful men killed in the West Side terror attack. God be with them!
107,Donald J. Trump,"CHAIN MIGRATION must end now! Some people come in, and they bring their whole family with them, who can be truly ev… https://t.co/g0RgPIG2K3"
108,Donald J. Trump,@SenateMajLdr @SenateGOP ...and Appeals Court Judges at a record clip! Our courts are rapidly changing for the better!
109,Donald J. Trump,Thanks to @SenateMajLdr McConnell and the @SenateGOP we are appointing high-quality Federal District...
110,Donald J. Trump,"Thank you to the GREAT NYPD, First Responders and all govt officials for having handled the terrible West Side atta… https://t.co/wcjWahjCHF"
111,Donald J. Trump,@NYGovCuomo @NYCMayor ...fully supports any and all of their efforts with respect to the West Side attack. #NYCStrong
112,Donald J. Trump,Just spoke with @NYGovCuomo and @NYCMayor de Blasio to let them know that the federal government...
113,Donald J. Trump,We mourn the horrifying terrorist attack in NYC. All of America is praying and grieving for the families who lost t… https://t.co/gnCvusZ0Ud
114,Donald J. Trump,....for the Middle Class. The House and Senate should consider ASAP as the process of final approval moves along. Push Biggest Tax Cuts EVER
115,Donald J. Trump,Wouldn't it be great to Repeal the very unfair and unpopular Individual Mandate in ObamaCare and use those savings for further Tax Cuts.....
116,Donald J. Trump,#NYCStrong #USA🇺🇸 https://t.co/6K3Xw5P87d
117,Donald J. Trump,"""Senator Chuck Schumer helping to import Europes problems"" said Col.Tony Shaffer. We will stop this craziness!  @foxandfriends"
118,Donald J. Trump,"We are fighting hard for Merit Based immigration, no more Democrat Lottery Systems. We must get MUCH tougher (and smarter).  @foxandfriends"
119,Donald J. Trump,"The terrorist came into our country through what is called the ""Diversity Visa Lottery Program,"" a Chuck Schumer beauty. I want merit based."
120,Donald J. Trump,"I have just ordered Homeland Security to step up our already Extreme Vetting Program. Being politically correct is fine, but not for this!"
121,Donald J. Trump,The Republican House members are working hard (and late) toward the Massive Tax Cuts that they know you deserve. These will be biggest ever!
122,Donald J. Trump,"My thoughts, condolences and prayers to the victims and families of the New York City terrorist attack. God and your country are with you!"
123,Donald J. Trump,"We must not allow ISIS to return, or enter, our country after defeating them in the Middle East and elsewhere. Enough!"
124,Donald J. Trump,"In NYC, looks like another attack by a very sick and deranged person. Law enforcement is following this closely. NOT IN THE U.S.A.!"
125,Donald J. Trump,"U.S. COAL PRODUCTION
Up📈7.8% past year. 
Down📉31.5% last 10 years. 
#EndingWarOnCoal https://t.co/xr20OBb2DV"
126,Donald J. Trump,“Home Prices Reach New All-Time Highs in August” Read more: https://t.co/XzJiZgGQ8R https://t.co/STBtR6mO2j
127,Donald J. Trump,"""Consumer Confidence Hits Highest Level Since December 2000"" Read more: https://t.co/w7WkcobFun https://t.co/nLo5XCnuIx"
128,Donald J. Trump,RT @IvankaTrump: We're working to make tax cuts &amp; the expanded Child Tax Credit a reality for American families. The time is now! #TaxRefor…
129,Donald J. Trump,"Wishing everyone a safe and Happy Halloween!
#Halloween2017 https://t.co/BRpgXVRI8Y"
130,Donald J. Trump,Thank you @LuisRiveraMarin! https://t.co/BK7sDv9phU
131,Donald J. Trump,“Statement by President Trump on the Apprehension of Mustafa al-Imam for His Alleged Role in Benghazi Attacks” https://t.co/2U7WJmfGlM
132,Donald J. Trump,"....earth shattering. He and his brother could Drain The Swamp, which would be yet another campaign promise fulfilled. Fake News weak!"
133,Donald J. Trump,"The biggest story yesterday, the one that has the Dems in a dither, is Podesta running from his firm. What he know about Crooked Dems is...."
134,Donald J. Trump,I hope people will start to focus on our Massive Tax Cuts for Business (jobs) and the Middle Class (in addition to Democrat corruption)!
135,Donald J. Trump,"....came to the campaign. Few people knew the young, low level volunteer named George, who has already proven to be a liar. Check the DEMS!"
136,Donald J. Trump,"The Fake News is working overtime. As Paul Manaforts lawyer said, there was ""no collusion"" and events mentioned took place long before he..."
137,Donald J. Trump,"....Also, there is NO COLLUSION!"
138,Donald J. Trump,"Sorry, but this is years ago, before Paul Manafort was part of the Trump campaign. But why aren't Crooked Hillary &amp; the Dems the focus?????"
139,Donald J. Trump,Great job by MichaelCaputo on @foxandfriends.
140,Donald J. Trump,"Report out that Obama Campaign paid $972,000 to Fusion GPS. The firm also got $12,400,000 (really?) from DNC. Nobody knows who OK'd!"
141,Donald J. Trump,"All of this ""Russia"" talk right when the Republicans are making their big push for historic Tax Cuts &amp; Reform. Is this coincidental? NOT!"
142,Donald J. Trump,"...are now fighting back like never before. There is so much GUILT by Democrats/Clinton, and now the facts are pouring out. DO SOMETHING!"
143,Donald J. Trump,"...""collusion,"" which doesn't exist. The Dems are using this terrible (and bad for our country) Witch Hunt for evil politics, but the R's..."
144,Donald J. Trump,"...the Uranium to Russia deal, the  33,000 plus deleted Emails, the Comey fix and so much more. Instead they look at phony Trump/Russia,...."
145,Donald J. Trump,"Never seen such Republican ANGER &amp; UNITY as I have concerning the lack of investigation on Clinton made Fake Dossier (now $12,000,000?),...."
146,Donald J. Trump,"As usual, the ObamaCare premiums will be up (the Dems own it), but we will Repeal &amp; Replace and have great Healthcare soon after Tax Cuts!"
147,Donald J. Trump,"JFK Files are released, long ahead of schedule!"
148,Donald J. Trump,While not at all presidential I must point out that the Sloppy Michael Moore Show on Broadway was a TOTAL BOMB and was forced to close. Sad!
149,Donald J. Trump,"Happy #FirstRespondersDay to all of our HEROES out there. We are forever grateful to you for your service, sacrific… https://t.co/UpEh9uZ9fu"
150,Donald J. Trump,...in order to put any and all conspiracy theories to rest.
151,Donald J. Trump,"...addresses of any mentioned person who is still living. I am doing this for reasons of full disclosure, transparency and..."
152,Donald J. Trump,"After strict consultation with General Kelly, the CIA and other Agencies, I will be releasing ALL #JFKFiles other than the names and..."
153,Donald J. Trump,Today is National Prescription Drug Take Back Day. Everyone can help fight the #OpioidEpidemic by participating!… https://t.co/xOrimTGON5
154,Donald J. Trump,Just read the nice remarks by President Jimmy Carter about me and how badly I am treated by the press (Fake News). Thank you Mr. President!
155,Donald J. Trump,Very little reporting about the GREAT GDP numbers announced yesterday (3.0 despite the big hurricane hits). Best consecutive Q's in years!
156,Donald J. Trump,"“WHAT HAPPENED”

“How Team Hillary played the press for fools on Russia”
➡️https://t.co/GqpIidk017

NOW WE KNOW! https://t.co/SgWL1HZmkI"
157,Donald J. Trump,#JFKFiles https://t.co/AnPBSJFh3J
158,Donald J. Trump,"Happy Birthday @TheLeeGreenwood!
#FlashbackFriday https://t.co/MCrMK6Eurm"
159,Donald J. Trump,"People are anxiously awaiting my decision as to who the next head of the Fed will be....
🎥https://t.co/PEj1KNYcAO"
160,Donald J. Trump,.@FoxNews Chris Wallace: “More evidence of Dem collusion with Russia than GOP” https://t.co/nACQerJSiu
161,Donald J. Trump,We are inspired by the stories of everyday heroes who pull their communities from the depths of despair through lea… https://t.co/QsxRShJWmQ
162,Donald J. Trump,"Diane Black of Tennessee, the highly respected House Budget Committee Chairwoman, did a GREAT job in passing Budget, setting up big Tax Cuts"
163,Donald J. Trump,Thank you @FLGovScott. https://t.co/rgdU9plvFK
164,Donald J. Trump,"It is now commonly agreed, after many months of COSTLY looking, that there was NO collusion between Russia and Trump. Was collusion with HC!"
165,Donald J. Trump,Happy birthday to the great @TheLeeGreenwood. You and your beautiful song have made such a difference. MAKE AMERICA GREAT AGAIN!
166,Donald J. Trump,JFK Files are being carefully released. In the end there will be great transparency. It is my hope to get just about everything to public!
167,Donald J. Trump,Good luck to @Joy_Villa on her decision to enter the wonderful world of politics. She has many fans!
168,Donald J. Trump,"Congratulations to @SpeakerRyan, @GOPLeader, @SteveScalise and to the Republican Party on Budget passage yesterday. Now for biggest Tax Cuts"
169,Donald J. Trump,Thank you @foxandfriends. Really great job and show!
170,Donald J. Trump,"Wacky &amp; totally unhinged Tom Steyer, who has been fighting me and my Make America Great Again agenda from beginning, never wins elections!"
171,Donald J. Trump,"WORKING TOGETHER, we will defeat this #OpioidEpidemic &amp; free our nation from the terrible affliction of drug abuse.… https://t.co/Mw8xZxOEUn"
172,Donald J. Trump,"Effective today, my administration officially declared the #OpioidCrisis a NATIONAL PUBLIC HEALTH EMERGENCY under f… https://t.co/0DF0lnfKJG"
173,Donald J. Trump,Big news - Budget just passed!
174,Donald J. Trump,Do not underestimate the UNITY within the Republican Party!
175,Donald J. Trump,"Ed Gillespie will be a great Governor of Virginia. His opponent doesn't even show up to meetings/work, and will be VERY weak on crime!"
176,Donald J. Trump,"Ed Gillespie will turn the really bad Virginia economy #'s around, and fast. Strong on crime, he might even save our great statues/heritage!"
177,Donald J. Trump,RT @seanhannity: BOOM!!  Tick Tock https://t.co/8E2Lvj3TTa
178,Donald J. Trump,Will be another Sean success! https://t.co/SlNTENvJLA
179,Donald J. Trump,RT @PChowka: Fox News With Hannity's Help Regains Its Ratings Dominance By Peter Barry Chowka at The Hagmann report https://t.co/ICDMCZregu…
180,Donald J. Trump,"Together, we will Make America Great Again!
#AmericaFirst🇺🇸 https://t.co/ajiC3flNkI"
181,Donald J. Trump,"This will be the biggest TAX CUT in the history of our country - and we need it! #TaxReform 
Read more:… https://t.co/1qDeHBLabT"
182,Donald J. Trump,RT @IvankaTrump: Working families need #TaxReform &amp; the time is now. This Administration is committed to ensuring all Americans can thrive…
183,Donald J. Trump,Interview with @LouDobbs coming up at 7pmE on @FoxBusiness. Enjoy! https://t.co/9V9z015kVl
184,Donald J. Trump,"Texas @GovAbbott &amp; Lt. Gov. @DanPatrick,

Thank you for todays briefing on hurricane recovery efforts here in TX. K… https://t.co/5lGb2FKLJ2"
185,Donald J. Trump,The long anticipated release of the #JFKFiles will take place tomorrow. So interesting!
186,Donald J. Trump,Melania and I look forward to being with President Xi &amp; Madame Peng Liyuan in China in two weeks for what will hope… https://t.co/TYNkL929s6
187,Donald J. Trump,"Spoke to President Xi of China to congratulate him on his extraordinary elevation. Also discussed NoKo &amp; trade, two very important subjects!"
188,Donald J. Trump,Just interviewed by @LouDobbs. Will be aired tonight at 7pmE on @FoxBusiness. #Dobbs
189,Donald J. Trump,"Congrats to @Reince Priebus, a really good and talented man. We’re proud of you Reince! https://t.co/7AsjAMrSnV"
190,Donald J. Trump,MAKE AMERICA GREAT AGAIN! https://t.co/CbEwJSQ1A3
191,Donald J. Trump,"Jeff Flake, with an 18% approval rating in Arizona, said ""a lot of my colleagues have spoken out."" Really, they just gave me a standing O!"
192,Donald J. Trump,"Working hard on the biggest tax cut in U.S. history. Great support from so many sides. Big winners will be the middle class, business &amp; JOBS"
193,Donald J. Trump,"The meeting with Republican Senators yesterday, outside of Flake and Corker, was a love fest with standing ovations and great ideas for USA!"
194,Donald J. Trump,"The reason Flake and Corker dropped out of the Senate race is very simple, they had zero chance of being elected. Now act so hurt &amp; wounded!"
195,Donald J. Trump,"""Clinton campaign &amp; DNC paid for research that led to the anti-Trump Fake News Dossier. The victim here is the President."" @FoxNews"
196,Donald J. Trump,So nice being with Republican Senators today. Multiple standing ovations! Most are great people who want big Tax Cuts and success for U.S.
197,Donald J. Trump,"“President Donald J. Trump Proclaims October 24, 2017, as United Nations Day” Read more: https://t.co/cyRAQAKhy2 https://t.co/HVD0kLYlBk"
198,Donald J. Trump,Stock Market just hit another record high! Jobs looking very good.
199,Donald J. Trump,...the entire World WAS laughing and taking advantage of us. People like liddle' Bob Corker have set the U.S. way back. Now we move forward!
200,Donald J. Trump,"Sen. Corker is the incompetent head of the Foreign Relations Committee, &amp; look how poorly the U.S. has done. He doesn't have a clue as....."
201,Justin Trudeau,"RT @NavdeepSBains: Innovation at work! Canadian and Indian businesses met tonight to explore opportunities for collaboration, building on o…"
202,Justin Trudeau,RT @NavdeepSBains: L'innovation en action ! Les entreprises canadiennes et indiennes se sont rencontrées ce soir pour explorer les possibil…
203,Justin Trudeau,I'll always be grateful for George Gosbee's work on our advisory council during our time in opposition. Calgary has… https://t.co/ZihaF8eVoE
204,Justin Trudeau,Je serai toujours reconnaissant pour le travail que George Gosbee a fait au sein de notre comité consultatif quand… https://t.co/SIG4z2OjHL
205,Justin Trudeau,"RT @FP_Champagne: All fired up with the largest business delegation of the #TradeMissionToIndia. Let's be ambitious, let's keep building ou…"
206,Justin Trudeau,"RT @FP_Champagne: Beaucoup d'énergie avec la délégation de notre #MissionCommercialeEnInde. Soyez ambitieux, créez des liens, signez des en…"
207,Justin Trudeau,"When we empower women in business, we create jobs &amp; grow our economy – we had an insightful discussion in Makati ab… https://t.co/ognByKWWd0"
208,Justin Trudeau,"Outiller les entrepreneures, c’est bon pour l’emploi et l’économie. Discussion éclairante à Makati sur l’aide que n… https://t.co/7noWnPUjuC"
209,Justin Trudeau,RT @yuchengcomuseum: Canadian PM Justin Trudeau is welcomed to the Yuchengco Museum by Ms Helen Dee and Ms Yvonne Yuchengco. @JustinTrudeau…
210,Justin Trudeau,Hey @cathmckenna – here’s Canadian innovation at work in the Philippines! Electric e-jeepneys cut down on emissions… https://t.co/Piv6v2xsjN
211,Justin Trudeau,".@cathmckenna, par ici! Voyez l’innovation canadienne à l’œuvre aux Philippines! Les e-Jeepney aident à réduire la… https://t.co/DWRkMUNqsU"
212,Justin Trudeau,"Sitting down with Prime Minister @jacindaardern for our first meeting in person, talking trade, climate change, and… https://t.co/Eewoqktbnj"
213,Justin Trudeau,"Premier entretien en personne avec la première ministre @jacindaardern. Au menu : commerce, changements climatiques… https://t.co/fov4Jb5QlG"
214,Justin Trudeau,"On the TPP trade deal: We've been working hard on it this week in Asia, and we're going to keep negotiating until w… https://t.co/eZKVL99H3D"
215,Justin Trudeau,"Au sujet du Partenariat transpacifique : nous y avons beaucoup travaillé cette semaine, en Asie, et nous allons pou… https://t.co/q7nBT4dMWb"
216,Justin Trudeau,Kicking off the 31st #ASEAN Summit in the Philippines today. https://t.co/2DOUQXtX3n
217,Justin Trudeau,"Coup d’envoi du 31e Sommet de l’#ANASE aux Philippines, aujourd’hui. https://t.co/XRbp0bc8kn"
218,Justin Trudeau,"Entrepreneurs grow our economy, build a strong middle class, and create jobs for people across Canada &amp; around the… https://t.co/N3CRVXi777"
219,Justin Trudeau,"Les entrepreneurs font croître l’économie, renforcent la classe moyenne et créent de l’emploi ici et dans le monde.… https://t.co/TYHEKdHMBH"
220,Justin Trudeau,Tragic news from Iran and Iraq today. Canadians offer their deepest sympathies to the families affected by the earthquake in the region.
