"listing_id","price","nbhood_full"
39593,"79 dollars","Queens, Sunnyside"
39704,"135 dollars","Brooklyn, Bedford-Stuyvesant"
41348,"250 dollars","Brooklyn, Gowanus"
42580,"70 dollars","Brooklyn, Clinton Hill"
42729,"165 dollars","Brooklyn, Carroll Gardens"
42882,"70 dollars","Staten Island, St. George"
43957,"50 dollars","Brooklyn, Bushwick"
44096,"40 dollars","Bronx, Highbridge"
44212,"125 dollars","Manhattan, East Village"
44221,"196 dollars","Manhattan, Financial District"
44229,"110 dollars","Brooklyn, Fort Greene"
44288,"170 dollars","Manhattan, West Village"
44506,"165 dollars","Manhattan, Harlem"
45556,"65 dollars","Brooklyn, Fort Greene"
45910,"350 dollars","Queens, Ridgewood"
45936,"99 dollars","Manhattan, Morningside Heights"
45940,"200 dollars","Brooklyn, Williamsburg"
46544,"150 dollars","Brooklyn, Park Slope"
46723,"90 dollars","Brooklyn, Bedford-Stuyvesant"
46911,"120 dollars","Brooklyn, Prospect Heights"
47199,"75 dollars","Manhattan, Upper East Side"
47926,"275 dollars","Manhattan, Hell's Kitchen"
48719,"299 dollars","Manhattan, Lower East Side"
50447,"135 dollars","Brooklyn, South Slope"
51485,"83 dollars","Manhattan, Lower East Side"
51572,"123 dollars","Manhattan, Chelsea"
51850,"55 dollars","Queens, Jamaica"
53137,"195 dollars","Manhattan, Hell's Kitchen"
53477,"265 dollars","Queens, Middle Village"
54158,"249 dollars","Brooklyn, Williamsburg"
54508,"100 dollars","Brooklyn, Prospect Heights"
54544,"121 dollars","Manhattan, Harlem"
54626,"45 dollars","Bronx, Highbridge"
54860,"100 dollars","Manhattan, East Harlem"
55467,"140 dollars","Brooklyn, Williamsburg"
55498,"71 dollars","Brooklyn, Bedford-Stuyvesant"
55737,"199 dollars","Manhattan, West Village"
55959,"69 dollars","Brooklyn, Williamsburg"
56467,"130 dollars","Manhattan, East Village"
56525,"195 dollars","Brooklyn, Greenpoint"
56859,"64 dollars","Manhattan, Harlem"
57166,"140 dollars","Queens, Ditmars Steinway"
57297,"159 dollars","Brooklyn, Cobble Hill"
57468,"189 dollars","Manhattan, East Village"
57618,"250 dollars","Manhattan, Hell's Kitchen"
57740,"239 dollars","Manhattan, East Village"
57754,"305 dollars","Manhattan, Flatiron District"
57874,"155 dollars","Manhattan, Harlem"
58059,"60 dollars","Manhattan, Harlem"
58062,"135 dollars","Brooklyn, Windsor Terrace"
58467,"120 dollars","Manhattan, Roosevelt Island"
59014,"150 dollars","Manhattan, Lower East Side"
59642,"135 dollars","Brooklyn, Greenpoint"
59709,"250 dollars","Manhattan, Chinatown"
60164,"500 dollars","Manhattan, SoHo"
60457,"225 dollars","Manhattan, Greenwich Village"
60666,"92 dollars","Manhattan, Harlem"
60680,"99 dollars","Manhattan, East Village"
60948,"140 dollars","Manhattan, East Harlem"
61406,"80 dollars","Manhattan, Harlem"
61492,"120 dollars","Manhattan, Chinatown"
61509,"110 dollars","Manhattan, Midtown"
62095,"65 dollars","Brooklyn, East Flatbush"
62427,"130 dollars","Manhattan, East Village"
62430,"99 dollars","Brooklyn, Bushwick"
62452,"36 dollars","Staten Island, Tompkinsville"
62461,"37 dollars","Staten Island, Tompkinsville"
62787,"37 dollars","Staten Island, Tompkinsville"
62891,"175 dollars","Manhattan, East Village"
62903,"205 dollars","Manhattan, Chelsea"
62925,"285 dollars","Brooklyn, Greenpoint"
63299,"59 dollars","Brooklyn, Williamsburg"
63320,"36 dollars","Staten Island, Tompkinsville"
63360,"99 dollars","Queens, Astoria"
63546,"39 dollars","Brooklyn, Kensington"
63610,"105 dollars","Bronx, Eastchester"
63657,"135 dollars","Brooklyn, Bedford-Stuyvesant"
63693,"390 dollars","Manhattan, East Village"
64000,"60 dollars","Brooklyn, Williamsburg"
64107,"100 dollars","Brooklyn, Crown Heights"
64277,"70 dollars","Brooklyn, Bedford-Stuyvesant"
64314,"110 dollars","Brooklyn, Crown Heights"
64365,"60 dollars","Brooklyn, Crown Heights"
64707,"90 dollars","Manhattan, Little Italy"
64837,"68 dollars","Manhattan, East Village"
65019,"115 dollars","Manhattan, Upper West Side"
65268,"75 dollars","Brooklyn, Bedford-Stuyvesant"
65562,"129 dollars","Manhattan, East Village"
65615,"130 dollars","Brooklyn, Williamsburg"
65660,"95 dollars","Brooklyn, Williamsburg"
65813,"75 dollars","Manhattan, Harlem"
66008,"190 dollars","Brooklyn, Carroll Gardens"
66026,"49 dollars","Brooklyn, Crown Heights"
66251,"212 dollars","Manhattan, East Village"
66275,"95 dollars","Manhattan, Lower East Side"
66451,"140 dollars","Brooklyn, Williamsburg"
66718,"135 dollars","Manhattan, Harlem"
66741,"150 dollars","Brooklyn, Park Slope"
66974,"190 dollars","Brooklyn, Gowanus"
67288,"124 dollars","Manhattan, East Harlem"
67299,"135 dollars","Brooklyn, Williamsburg"
67397,"122 dollars","Manhattan, Morningside Heights"
68099,"109 dollars","Manhattan, Upper West Side"
68403,"145 dollars","Brooklyn, Bedford-Stuyvesant"
68735,"195 dollars","Manhattan, Upper West Side"
68765,"250 dollars","Brooklyn, Carroll Gardens"
68974,"575 dollars","Manhattan, Little Italy"
69894,"150 dollars","Manhattan, Upper West Side"
69921,"70 dollars","Brooklyn, Bushwick"
70095,"90 dollars","Manhattan, Inwood"
70128,"65 dollars","Manhattan, East Village"
70609,"500 dollars","Manhattan, East Village"
71010,"250 dollars","Manhattan, Washington Heights"
71248,"125 dollars","Manhattan, Chinatown"
71366,"200 dollars","Manhattan, West Village"
71812,"90 dollars","Bronx, Kingsbridge"
72190,"110 dollars","Manhattan, Upper West Side"
72265,"59 dollars","Brooklyn, Greenpoint"
74073,"195 dollars","Brooklyn, Williamsburg"
74240,"169 dollars","Brooklyn, Williamsburg"
74680,"115 dollars","Queens, Astoria"
75193,"69 dollars","Brooklyn, Williamsburg"
75635,"150 dollars","Manhattan, Lower East Side"
76761,"169 dollars","Brooklyn, South Slope"
77765,"179 dollars","Brooklyn, Greenpoint"
77936,"150 dollars","Manhattan, Hell's Kitchen"
79067,"350 dollars","Brooklyn, Clinton Hill"
79782,"120 dollars","Brooklyn, Williamsburg"
80493,"71 dollars","Manhattan, East Village"
80700,"349 dollars","Brooklyn, Greenpoint"
82550,"200 dollars","Brooklyn, Brooklyn Heights"
82638,"169 dollars","Manhattan, East Village"
82928,"185 dollars","Brooklyn, Bedford-Stuyvesant"
83243,"65 dollars","Brooklyn, Bushwick"
83847,"225 dollars","Manhattan, East Village"
84010,"179 dollars","Brooklyn, Greenpoint"
84659,"139 dollars","Manhattan, East Village"
84905,"95 dollars","Manhattan, Two Bridges"
85094,"79 dollars","Brooklyn, Crown Heights"
86215,"150 dollars","Manhattan, Lower East Side"
89621,"90 dollars","Brooklyn, Bedford-Stuyvesant"
93313,"120 dollars","Brooklyn, Bedford-Stuyvesant"
94035,"80 dollars","Queens, Astoria"
94477,"175 dollars","Brooklyn, Bedford-Stuyvesant"
94783,"120 dollars","Brooklyn, Crown Heights"
96471,"165 dollars","Brooklyn, Clinton Hill"
99070,"65 dollars","Manhattan, East Harlem"
99085,"123 dollars","Brooklyn, Fort Greene"
100002,"67 dollars","Manhattan, Washington Heights"
100184,"50 dollars","Queens, Queens Village"
100186,"130 dollars","Brooklyn, Gowanus"
101053,"100 dollars","Brooklyn, Williamsburg"
103161,"190 dollars","Brooklyn, Williamsburg"
103806,"249 dollars","Manhattan, East Village"
105510,"100 dollars","Brooklyn, Crown Heights"
106363,"60 dollars","Manhattan, Harlem"
106647,"135 dollars","Brooklyn, Bedford-Stuyvesant"
107630,"175 dollars","Brooklyn, Greenpoint"
107895,"120 dollars","Manhattan, Upper West Side"
110739,"169 dollars","Manhattan, Midtown"
112435,"95 dollars","Brooklyn, Fort Greene"
113265,"55 dollars","Brooklyn, Crown Heights"
113945,"85 dollars","Manhattan, Hell's Kitchen"
114123,"199 dollars","Brooklyn, South Slope"
114229,"211 dollars","Manhattan, Lower East Side"
115535,"65 dollars","Manhattan, Harlem"
115678,"99 dollars","Manhattan, Harlem"
115748,"110 dollars","Queens, Astoria"
116940,"80 dollars","Brooklyn, Crown Heights"
118061,"110 dollars","Brooklyn, Bedford-Stuyvesant"
118430,"290 dollars","Manhattan, Chelsea"
120362,"190 dollars","Brooklyn, Williamsburg"
121687,"200 dollars","Brooklyn, Williamsburg"
123784,"110 dollars","Manhattan, Harlem"
125053,"395 dollars","Manhattan, East Village"
125163,"99 dollars","Brooklyn, Bedford-Stuyvesant"
125594,"39 dollars","Brooklyn, Kensington"
126443,"189 dollars","Manhattan, East Village"
128975,"122 dollars","Manhattan, Harlem"
131154,"165 dollars","Brooklyn, Greenpoint"
132516,"97 dollars","Queens, Forest Hills"
133025,"130 dollars","Manhattan, Murray Hill"
134934,"225 dollars","Brooklyn, Williamsburg"
135393,"50 dollars","Brooklyn, East Flatbush"
135465,"170 dollars","Brooklyn, Fort Greene"
136493,"250 dollars","Brooklyn, Park Slope"
139624,"64 dollars","Brooklyn, Crown Heights"
140133,"249 dollars","Brooklyn, Williamsburg"
140973,"185 dollars","Manhattan, East Village"
141154,"120 dollars","Brooklyn, Boerum Hill"
141984,"175 dollars","Manhattan, Nolita"
144087,"259 dollars","Manhattan, Harlem"
146754,"250 dollars","Brooklyn, Windsor Terrace"
147586,"295 dollars","Manhattan, Harlem"
148259,"451 dollars","Brooklyn, Williamsburg"
148825,"165 dollars","Manhattan, Upper West Side"
149777,"77 dollars","Bronx, Woodlawn"
150804,"250 dollars","Manhattan, Lower East Side"
151199,"129 dollars","Queens, Astoria"
152078,"95 dollars","Manhattan, East Village"
152259,"55 dollars","Manhattan, Harlem"
152263,"300 dollars","Manhattan, Harlem"
153405,"125 dollars","Brooklyn, Greenpoint"
153780,"175 dollars","Manhattan, East Village"
155296,"255 dollars","Brooklyn, Williamsburg"
157673,"72 dollars","Brooklyn, Bedford-Stuyvesant"
158176,"165 dollars","Brooklyn, Williamsburg"
158290,"75 dollars","Brooklyn, Clinton Hill"
158955,"139 dollars","Brooklyn, Williamsburg"
159749,"88 dollars","Brooklyn, Bedford-Stuyvesant"
159815,"80 dollars","Brooklyn, Bedford-Stuyvesant"
159913,"150 dollars","Manhattan, Chelsea"
160609,"200 dollars","Manhattan, Upper West Side"
160994,"200 dollars","Manhattan, East Village"
161366,"42 dollars","Queens, Sunnyside"
161996,"295 dollars","Manhattan, Harlem"
162508,"130 dollars","Brooklyn, Crown Heights"
163809,"198 dollars","Manhattan, Harlem"
163814,"99 dollars","Manhattan, East Village"
163836,"46 dollars","Brooklyn, Greenpoint"
164989,"140 dollars","Manhattan, SoHo"
165461,"75 dollars","Manhattan, Morningside Heights"
165824,"33 dollars","Queens, Sunnyside"
166172,"60 dollars","Brooklyn, Bushwick"
166541,"75 dollars","Manhattan, Washington Heights"
167482,"185 dollars","Manhattan, Upper West Side"
168084,"190 dollars","Manhattan, East Village"
168123,"105 dollars","Brooklyn, South Slope"
169002,"65 dollars","Manhattan, Harlem"
169306,"37 dollars","Bronx, University Heights"
169464,"85 dollars","Brooklyn, Williamsburg"
170761,"85 dollars","Brooklyn, Fort Greene"
173072,"49 dollars","Manhattan, Harlem"
173151,"91 dollars","Brooklyn, Greenpoint"
173742,"400 dollars","Manhattan, Gramercy"
176653,"100 dollars","Manhattan, East Village"
176962,"179 dollars","Brooklyn, Williamsburg"
177421,"500 dollars","Brooklyn, Greenpoint"
177495,"429 dollars","Manhattan, Chelsea"
177606,"189 dollars","Manhattan, Kips Bay"
179670,"120 dollars","Manhattan, Lower East Side"
179741,"300 dollars","Manhattan, Nolita"
180792,"95 dollars","Queens, Astoria"
181972,"199 dollars","Manhattan, Harlem"
182069,"120 dollars","Manhattan, East Harlem"
182095,"199 dollars","Manhattan, West Village"
182177,"125 dollars","Bronx, Allerton"
182649,"70 dollars","Brooklyn, Williamsburg"
185266,"75 dollars","Brooklyn, Williamsburg"
187566,"99 dollars","Brooklyn, Bedford-Stuyvesant"
189135,"99 dollars","Manhattan, Hell's Kitchen"
189732,"169 dollars","Brooklyn, East New York"
189787,"99 dollars","Brooklyn, Crown Heights"
190267,"169 dollars","Manhattan, Upper East Side"
190542,"160 dollars","Brooklyn, Bedford-Stuyvesant"
190968,"215 dollars","Brooklyn, Prospect Heights"
190974,"130 dollars","Brooklyn, Park Slope"
191075,"110 dollars","Manhattan, East Village"
193105,"150 dollars","Manhattan, Hell's Kitchen"
193393,"75 dollars","Queens, Sunnyside"
195123,"50 dollars","Manhattan, Washington Heights"
195233,"43 dollars","Brooklyn, Prospect-Lefferts Gardens"
195240,"42 dollars","Brooklyn, Prospect-Lefferts Gardens"
195971,"139 dollars","Brooklyn, Bedford-Stuyvesant"
195989,"105 dollars","Brooklyn, Park Slope"
197155,"149 dollars","Manhattan, Hell's Kitchen"
197753,"68 dollars","Manhattan, Harlem"
197942,"99 dollars","Brooklyn, Bedford-Stuyvesant"
199195,"75 dollars","Manhattan, Harlem"
199312,"100 dollars","Brooklyn, Williamsburg"
201992,"190 dollars","Brooklyn, Park Slope"
204065,"248 dollars","Brooklyn, Clinton Hill"
204959,"95 dollars","Manhattan, Chinatown"
205043,"150 dollars","Manhattan, Theater District"
205485,"145 dollars","Brooklyn, Bedford-Stuyvesant"
205735,"41 dollars","Brooklyn, Bushwick"
205867,"120 dollars","Brooklyn, Williamsburg"
206071,"50 dollars","Bronx, Concourse Village"
206772,"195 dollars","Brooklyn, Williamsburg"
208889,"145 dollars","Brooklyn, Bedford-Stuyvesant"
209310,"50 dollars","Queens, Sunnyside"
211974,"250 dollars","Manhattan, East Village"
212109,"80 dollars","Manhattan, West Village"
212178,"230 dollars","Manhattan, Theater District"
213272,"40 dollars","Brooklyn, Bushwick"
215560,"79 dollars","Brooklyn, Bedford-Stuyvesant"
215784,"95 dollars","Queens, Long Island City"
215907,"300 dollars","Manhattan, Upper West Side"
218358,"80 dollars","Manhattan, Harlem"
219066,"110 dollars","Brooklyn, Bensonhurst"
219922,"100 dollars","Manhattan, Harlem"
220351,"55 dollars","Manhattan, Harlem"
220946,"146 dollars","Manhattan, East Village"
221097,"116 dollars","Brooklyn, Greenpoint"
221618,"150 dollars","Manhattan, Tribeca"
222304,"199 dollars","Manhattan, Chelsea"
223930,"150 dollars","Brooklyn, Prospect Heights"
225306,"79 dollars","Brooklyn, Bedford-Stuyvesant"
225887,"130 dollars","Brooklyn, Fort Greene"
225926,"239 dollars","Brooklyn, Clinton Hill"
225976,"75 dollars","Staten Island, Shore Acres"
226021,"220 dollars","Brooklyn, Williamsburg"
227715,"80 dollars","Brooklyn, Bedford-Stuyvesant"
227735,"288 dollars","Manhattan, East Village"
228317,"135 dollars","Brooklyn, Bedford-Stuyvesant"
228496,"225 dollars","Manhattan, West Village"
228517,"110 dollars","Manhattan, Chinatown"
228925,"100 dollars","Brooklyn, Bedford-Stuyvesant"
229367,"89 dollars","Manhattan, East Village"
230321,"80 dollars","Brooklyn, Bedford-Stuyvesant"
230854,"50 dollars","Bronx, Concourse"
230877,"135 dollars","Manhattan, East Harlem"
232612,"110 dollars","Brooklyn, Bedford-Stuyvesant"
232618,"145 dollars","Manhattan, East Harlem"
233189,"179 dollars","Manhattan, Hell's Kitchen"
233662,"110 dollars","Manhattan, Midtown"
234184,"325 dollars","Manhattan, Harlem"
235552,"300 dollars","Brooklyn, South Slope"
235651,"130 dollars","Manhattan, West Village"
235951,"190 dollars","Manhattan, Midtown"
236671,"180 dollars","Brooklyn, Williamsburg"
236788,"350 dollars","Brooklyn, DUMBO"
237127,"195 dollars","Manhattan, Kips Bay"
239733,"75 dollars","Queens, Ditmars Steinway"
239883,"85 dollars","Brooklyn, Fort Greene"
240800,"55 dollars","Brooklyn, Prospect Heights"
241140,"438 dollars","Brooklyn, Clinton Hill"
241159,"110 dollars","Brooklyn, Bedford-Stuyvesant"
241862,"200 dollars","Manhattan, West Village"
242532,"279 dollars","Brooklyn, Clinton Hill"
242643,"137 dollars","Brooklyn, Williamsburg"
243708,"199 dollars","Brooklyn, Williamsburg"
245504,"71 dollars","Manhattan, Inwood"
245544,"42 dollars","Bronx, Kingsbridge"
245574,"180 dollars","Brooklyn, Bedford-Stuyvesant"
245607,"226 dollars","Manhattan, Chelsea"
246916,"79 dollars","Queens, Elmhurst"
246938,"154 dollars","Manhattan, Lower East Side"
248865,"199 dollars","Brooklyn, Greenpoint"
248871,"700 dollars","Manhattan, West Village"
250259,"295 dollars","Brooklyn, Williamsburg"
250801,"850 dollars","Manhattan, Greenwich Village"
251262,"129 dollars","Brooklyn, Williamsburg"
251277,"140 dollars","Manhattan, Upper West Side"
252076,"115 dollars","Manhattan, Chinatown"
253466,"199 dollars","Brooklyn, Greenpoint"
253475,"199 dollars","Brooklyn, Greenpoint"
253590,"185 dollars","Manhattan, Upper West Side"
253800,"199 dollars","Brooklyn, Greenpoint"
253803,"199 dollars","Brooklyn, Greenpoint"
253806,"199 dollars","Brooklyn, Greenpoint"
253811,"199 dollars","Brooklyn, Greenpoint"
253815,"199 dollars","Brooklyn, Greenpoint"
254131,"54 dollars","Queens, Jackson Heights"
255024,"220 dollars","Brooklyn, Bushwick"
255476,"89 dollars","Brooklyn, Williamsburg"
255601,"170 dollars","Brooklyn, Bedford-Stuyvesant"
255957,"495 dollars","Manhattan, Nolita"
256078,"80 dollars","Queens, Sunnyside"
256328,"760 dollars","Manhattan, Chelsea"
256369,"98 dollars","Brooklyn, Cobble Hill"
257097,"125 dollars","Brooklyn, Bedford-Stuyvesant"
257787,"64 dollars","Brooklyn, Williamsburg"
258284,"154 dollars","Brooklyn, Clinton Hill"
258397,"139 dollars","Brooklyn, Park Slope"
258688,"325 dollars","Manhattan, West Village"
258838,"250 dollars","Staten Island, Arrochar"
259946,"125 dollars","Staten Island, Arrochar"
260765,"189 dollars","Manhattan, Upper East Side"
261194,"130 dollars","Brooklyn, Bedford-Stuyvesant"
261344,"101 dollars","Manhattan, Financial District"
262343,"153 dollars","Manhattan, Lower East Side"
262405,"92 dollars","Brooklyn, East Flatbush"
262583,"300 dollars","Manhattan, West Village"
263005,"145 dollars","Brooklyn, Fort Greene"
263190,"88 dollars","Manhattan, East Village"
263232,"155 dollars","Manhattan, Harlem"
263776,"73 dollars","Queens, Sunnyside"
263888,"225 dollars","Manhattan, Upper West Side"
264323,"85 dollars","Manhattan, Morningside Heights"
265036,"99 dollars","Brooklyn, Crown Heights"
266146,"109 dollars","Manhattan, Upper West Side"
266155,"167 dollars","Manhattan, Upper West Side"
266449,"195 dollars","Manhattan, Lower East Side"
267376,"65 dollars","Manhattan, Financial District"
267435,"55 dollars","Queens, Rego Park"
267535,"50 dollars","Bronx, Wakefield"
267652,"60 dollars","Brooklyn, Kensington"
267708,"99 dollars","Manhattan, East Harlem"
268392,"130 dollars","Manhattan, Harlem"
268868,"350 dollars","Manhattan, Chelsea"
269283,"50 dollars","Brooklyn, Crown Heights"
269889,"96 dollars","Queens, Long Island City"
270139,"45 dollars","Brooklyn, Bushwick"
270231,"85 dollars","Queens, Woodside"
270315,"34 dollars","Brooklyn, Bedford-Stuyvesant"
270345,"250 dollars","Manhattan, East Village"
270680,"190 dollars","Brooklyn, Williamsburg"
271083,"93 dollars","Brooklyn, Prospect-Lefferts Gardens"
271128,"60 dollars","Brooklyn, Bedford-Stuyvesant"
271130,"65 dollars","Brooklyn, Bedford-Stuyvesant"
271954,"150 dollars","Manhattan, Greenwich Village"
272427,"60 dollars","Brooklyn, Greenpoint"
272738,"60 dollars","Brooklyn, Williamsburg"
274062,"99 dollars","Manhattan, Harlem"
274329,"110 dollars","Brooklyn, Bushwick"
274376,"135 dollars","Brooklyn, Clinton Hill"
275976,"165 dollars","Brooklyn, Bedford-Stuyvesant"
276317,"402 dollars","Brooklyn, Prospect Heights"
276482,"85 dollars","Manhattan, Harlem"
277207,"75 dollars","Brooklyn, Greenpoint"
277370,"139 dollars","Manhattan, East Village"
278090,"50 dollars","Manhattan, East Harlem"
279857,"800 dollars","Brooklyn, Bedford-Stuyvesant"
279969,"100 dollars","Brooklyn, Bedford-Stuyvesant"
281756,"140 dollars","Brooklyn, Greenpoint"
281851,"130 dollars","Manhattan, Harlem"
282443,"90 dollars","Manhattan, Chinatown"
282514,"97 dollars","Brooklyn, Bedford-Stuyvesant"
282863,"91 dollars","Brooklyn, Gowanus"
282977,"125 dollars","Brooklyn, Park Slope"
283550,"175 dollars","Manhattan, Hell's Kitchen"
284855,"240 dollars","Manhattan, West Village"
286662,"110 dollars","Brooklyn, Crown Heights"
287397,"100 dollars","Brooklyn, Bedford-Stuyvesant"
287417,"300 dollars","Brooklyn, Bedford-Stuyvesant"
287481,"120 dollars","Brooklyn, Williamsburg"
287839,"175 dollars","Brooklyn, Fort Greene"
287845,"275 dollars","Brooklyn, Carroll Gardens"
289288,"219 dollars","Manhattan, East Village"
289995,"250 dollars","Brooklyn, Greenpoint"
290457,"139 dollars","Manhattan, Chinatown"
291524,"209 dollars","Manhattan, Upper West Side"
292047,"90 dollars","Manhattan, West Village"
292266,"50 dollars","Brooklyn, Bushwick"
293837,"157 dollars","Brooklyn, Williamsburg"
294227,"199 dollars","Brooklyn, Greenpoint"
294242,"199 dollars","Brooklyn, Greenpoint"
294250,"150 dollars","Manhattan, Upper West Side"
294259,"199 dollars","Brooklyn, Greenpoint"
294263,"199 dollars","Brooklyn, Greenpoint"
294280,"199 dollars","Brooklyn, Greenpoint"
294297,"105 dollars","Brooklyn, Williamsburg"
294353,"135 dollars","Brooklyn, Williamsburg"
294490,"199 dollars","Brooklyn, Greenpoint"
295379,"85 dollars","Brooklyn, Williamsburg"
295998,"300 dollars","Manhattan, Upper West Side"
296345,"75 dollars","Brooklyn, Williamsburg"
296361,"55 dollars","Queens, Elmhurst"
298759,"52 dollars","Brooklyn, Bedford-Stuyvesant"
299078,"250 dollars","Manhattan, SoHo"
299531,"100 dollars","Brooklyn, East New York"
301034,"140 dollars","Manhattan, Harlem"
302057,"75 dollars","Brooklyn, Flatbush"
303345,"90 dollars","Manhattan, East Harlem"
304799,"150 dollars","Manhattan, Upper West Side"
305211,"180 dollars","Brooklyn, Williamsburg"
306799,"65 dollars","Brooklyn, Bushwick"
