Date,Amazon,Facebook
2016-09-15,769.6900019999999,128.350006
2016-09-16,778.52002,129.070007
2016-09-19,775.099976,128.649994
2016-09-20,780.219971,128.639999
2016-09-21,789.73999,129.940002
2016-09-22,804.700012,130.080002
2016-09-23,805.75,127.959999
2016-09-26,799.159973,127.309998
2016-09-27,816.1099849999999,128.690002
2016-09-28,828.719971,129.229996
2016-09-29,829.049988,128.08999599999999
2016-09-30,837.3099980000001,128.270004
2016-10-03,836.73999,128.770004
2016-10-04,834.030029,128.190002
2016-10-05,844.3599849999999,128.470001
2016-10-06,841.659973,128.740005
2016-10-07,839.429993,128.990005
2016-10-10,841.7100220000001,130.240005
2016-10-11,831.0,128.880005
2016-10-12,834.090027,129.050003
2016-10-13,829.280029,127.82
2016-10-14,822.960022,127.879997
2016-10-17,812.950012,127.540001
2016-10-18,817.650024,128.570007
2016-10-19,817.6900019999999,130.110001
2016-10-20,810.320007,130.0
2016-10-21,818.98999,132.070007
2016-10-24,838.090027,133.279999
2016-10-25,835.179993,132.28999299999998
2016-10-26,822.590027,131.03999299999998
2016-10-27,818.3599849999999,129.690002
2016-10-28,776.320007,131.28999299999998
2016-10-31,789.820007,130.990005
2016-11-01,785.409973,129.5
2016-11-02,765.5599980000001,127.16999799999999
2016-11-03,767.030029,120.0
2016-11-04,755.049988,120.75
2016-11-07,784.929993,122.150002
2016-11-08,787.75,124.220001
2016-11-09,771.880005,123.18
2016-11-10,742.380005,120.800003
2016-11-11,739.01001,119.019997
2016-11-14,719.070007,115.08000200000001
2016-11-15,743.23999,117.199997
2016-11-16,746.48999,116.339996
2016-11-17,756.400024,117.790001
2016-11-18,760.159973,117.019997
2016-11-21,780.0,121.769997
2016-11-22,785.330017,121.470001
2016-11-23,780.119995,120.839996
2016-11-25,780.369995,120.379997
2016-11-28,766.77002,120.410004
2016-11-29,762.52002,120.870003
2016-11-30,750.570007,118.41999799999999
2016-12-01,743.650024,115.099998
2016-12-02,740.340027,115.400002
2016-12-05,759.3599849999999,117.43
2016-12-06,764.719971,117.309998
2016-12-07,770.419983,117.949997
2016-12-08,767.330017,118.910004
2016-12-09,768.659973,119.68
2016-12-12,760.119995,117.769997
2016-12-13,774.340027,120.309998
2016-12-14,768.820007,120.209999
2016-12-15,761.0,120.57
2016-12-16,757.77002,119.870003
2016-12-19,766.0,119.239998
2016-12-20,771.219971,119.089996
2016-12-21,770.599976,119.040001
2016-12-22,766.340027,117.400002
2016-12-23,760.590027,117.269997
2016-12-27,771.400024,118.010002
2016-12-28,772.130005,116.91999799999999
2016-12-29,765.150024,116.349998
2016-12-30,749.869995,115.050003
