id,expected_recovery_amount,actual_recovery_amount,recovery_strategy,age,sex
913,989,502.095,Level 0 Recovery,34,Male
193,990,491.425,Level 0 Recovery,22,Female
972,991,507.975,Level 0 Recovery,22,Female
336,992,519.61,Level 0 Recovery,32,Male
1818,992,397.385,Level 0 Recovery,33,Female
2002,992,470.215,Level 0 Recovery,32,Male
618,993,790.48,Level 0 Recovery,22,Male
1779,993,518.3,Level 0 Recovery,36,Female
1963,996,1225.66,Level 0 Recovery,29,Female
391,998,763.27,Level 0 Recovery,26,Female
206,1000,1119.87,Level 0 Recovery,28,Male
1629,1001,1723.54922,Level 1 Recovery,35,Male
2021,1001,612.7776467,Level 1 Recovery,25,Female
1478,1002,1659.94163,Level 1 Recovery,31,Male
153,1005,735.2648934,Level 1 Recovery,33,Male
1359,1007,775.6701899,Level 1 Recovery,26,Female
1721,1010,468.80872,Level 1 Recovery,24,Female
348,1012,844.3638904,Level 1 Recovery,27,Female
911,1013,794.0825283,Level 1 Recovery,31,Female
1005,1013,715.5041753,Level 1 Recovery,30,Male
208,1014,997.8265319,Level 1 Recovery,20,Male
1514,1016,985.7021597,Level 1 Recovery,30,Female
1535,1017,829.6367588,Level 1 Recovery,29,Male
454,1018,870.2644065,Level 1 Recovery,32,Male
600,1020,783.8100473,Level 1 Recovery,23,Male
818,1020,849.7251612,Level 1 Recovery,19,Male
493,1023,676.4499851,Level 1 Recovery,33,Male
1496,1023,2046.825257,Level 1 Recovery,33,Male
1870,1024,1222.414631,Level 1 Recovery,35,Male
2005,1025,848.6061424,Level 1 Recovery,26,Male
1528,1026,720.2906319,Level 1 Recovery,22,Female
1667,1026,882.7187588,Level 1 Recovery,24,Female
1799,1026,661.7877406,Level 1 Recovery,30,Female
1385,1027,496.6920076,Level 1 Recovery,22,Female
1137,1030,870.9028989,Level 1 Recovery,37,Male
105,1031,742.0345768,Level 1 Recovery,35,Female
1211,1031,1012.706647,Level 1 Recovery,37,Male
1301,1032,789.5904172,Level 1 Recovery,28,Female
661,1033,1047.370531,Level 1 Recovery,33,Male
61,1034,1199.917829,Level 1 Recovery,22,Female
482,1034,849.1643123,Level 1 Recovery,30,Male
238,1035,990.6340745,Level 1 Recovery,21,Female
292,1041,712.6532526,Level 1 Recovery,30,Female
513,1042,843.319302,Level 1 Recovery,23,Male
1443,1044,674.7690549,Level 1 Recovery,25,Female
1461,1044,1135.882979,Level 1 Recovery,30,Female
1509,1044,906.4984965,Level 1 Recovery,34,Male
1559,1045,973.3639101,Level 1 Recovery,34,Female
1793,1045,1697.47501,Level 1 Recovery,32,Female
631,1046,1098.320587,Level 1 Recovery,42,Male
1497,1046,1134.471732,Level 1 Recovery,25,Male
1557,1048,1068.511941,Level 1 Recovery,28,Female
192,1049,955.9131834,Level 1 Recovery,19,Male
1086,1049,760.8977117,Level 1 Recovery,29,Male
1336,1049,1002.450251,Level 1 Recovery,40,Male
718,1050,1001.841551,Level 1 Recovery,32,Male
955,1051,1062.661229,Level 1 Recovery,30,Male
1597,1051,851.5869116,Level 1 Recovery,30,Male
578,1056,846.2038292,Level 1 Recovery,23,Female
18,1057,959.5396432,Level 1 Recovery,22,Female
182,1058,1251.915589,Level 1 Recovery,43,Male
924,1058,634.9691551,Level 1 Recovery,28,Male
709,1061,882.5719724,Level 1 Recovery,23,Female
291,1062,824.1649314,Level 1 Recovery,34,Male
707,1062,688.9110641,Level 1 Recovery,23,Male
1462,1062,943.1711121,Level 1 Recovery,20,Male
1794,1062,1097.629093,Level 1 Recovery,41,Male
1437,1063,947.2487093,Level 1 Recovery,27,Female
1829,1065,700.0770013,Level 1 Recovery,20,Male
1972,1065,823.2485654,Level 1 Recovery,26,Male
142,1066,986.7832963,Level 1 Recovery,41,Female
652,1066,954.7328511,Level 1 Recovery,29,Female
1037,1069,1083.21528,Level 1 Recovery,32,Male
134,1071,705.5518707,Level 1 Recovery,34,Male
417,1071,904.5613295,Level 1 Recovery,31,Male
1170,1071,665.3593201,Level 1 Recovery,24,Male
1775,1072,769.2819856,Level 1 Recovery,31,Female
1845,1072,433.199166,Level 1 Recovery,25,Male
52,1073,1053.353862,Level 1 Recovery,29,Male
1340,1075,956.3494516,Level 1 Recovery,35,Male
1625,1076,938.1474896,Level 1 Recovery,29,Female
1815,1076,980.9743413,Level 1 Recovery,33,Male
410,1077,1013.650883,Level 1 Recovery,22,Male
1097,1077,1138.29318,Level 1 Recovery,27,Female
1466,1078,1072.344742,Level 1 Recovery,26,Male
1649,1078,1150.060622,Level 1 Recovery,26,Female
1127,1079,1160.40549,Level 1 Recovery,29,Female
1812,1080,862.9001536,Level 1 Recovery,28,Male
440,1081,815.5547412,Level 1 Recovery,33,Male
1633,1084,627.4518699,Level 1 Recovery,27,Male
1842,1084,759.2355361,Level 1 Recovery,30,Male
284,1085,962.2080743,Level 1 Recovery,22,Female
1621,1085,664.54105,Level 1 Recovery,34,Female
1912,1086,908.044553,Level 1 Recovery,31,Female
2043,1086,1280.870775,Level 1 Recovery,23,Female
1547,1088,994.9089817,Level 1 Recovery,26,Male
88,1091,1135.175607,Level 1 Recovery,21,Male
1957,1091,806.1377734,Level 1 Recovery,31,Female
732,1092,728.4363739,Level 1 Recovery,21,Male
1637,1092,1028.513414,Level 1 Recovery,19,Male
1184,1096,1077.218384,Level 1 Recovery,38,Male
1664,1096,2053.290126,Level 1 Recovery,18,Female
302,1098,876.9977754,Level 1 Recovery,34,Male
554,1098,1836.918718,Level 1 Recovery,26,Female
1501,1099,1277.630578,Level 1 Recovery,42,Female
1785,1100,663.7054465,Level 1 Recovery,22,Female
233,1101,990.1575163,Level 1 Recovery,35,Male
1890,1109,1066.454408,Level 1 Recovery,26,Female
1903,1109,889.9072971,Level 1 Recovery,28,Female
141,1110,751.7630959,Level 1 Recovery,29,Male
354,1111,1091.67163,Level 1 Recovery,28,Female
1043,1111,1290.53536,Level 1 Recovery,39,Male
1504,1113,972.4009552,Level 1 Recovery,25,Male
466,1114,743.031917,Level 1 Recovery,24,Female
1243,1115,973.7044306,Level 1 Recovery,34,Male
1350,1115,1008.434705,Level 1 Recovery,37,Male
1743,1116,1018.119389,Level 1 Recovery,34,Female
1871,1117,883.8743985,Level 1 Recovery,26,Male
1952,1118,930.2375223,Level 1 Recovery,29,Male
710,1120,1229.360657,Level 1 Recovery,35,Male
1115,1120,2232.326692,Level 1 Recovery,27,Male
1156,1120,983.5650489,Level 1 Recovery,18,Female
1284,1120,904.1520831,Level 1 Recovery,28,Male
1693,1121,1616.015865,Level 1 Recovery,33,Female
1260,1124,1035.902511,Level 1 Recovery,19,Female
528,1126,784.7193373,Level 1 Recovery,25,Female
1361,1127,729.1985682,Level 1 Recovery,30,Male
8,1129,741.4583876,Level 1 Recovery,33,Female
548,1130,854.6547604,Level 1 Recovery,27,Male
1893,1130,833.7923963,Level 1 Recovery,28,Female
716,1131,1000.310063,Level 1 Recovery,24,Female
1357,1132,764.7062535,Level 1 Recovery,35,Female
1857,1132,1121.466781,Level 1 Recovery,23,Male
1217,1134,1049.435005,Level 1 Recovery,37,Male
1344,1134,1338.461867,Level 1 Recovery,33,Male
1396,1136,1334.000985,Level 1 Recovery,30,Male
1998,1136,668.066199,Level 1 Recovery,21,Male
1607,1139,1102.769926,Level 1 Recovery,33,Male
1822,1139,817.3061993,Level 1 Recovery,32,Female
1558,1141,866.3774021,Level 1 Recovery,24,Male
1956,1141,1006.363868,Level 1 Recovery,34,Male
575,1146,773.1071293,Level 1 Recovery,21,Female
293,1147,1145.548895,Level 1 Recovery,31,Male
788,1148,973.7819628,Level 1 Recovery,21,Female
1090,1148,1098.036423,Level 1 Recovery,30,Male
1978,1151,932.2409605,Level 1 Recovery,29,Male
1476,1152,1069.834771,Level 1 Recovery,29,Female
236,1153,997.3074312,Level 1 Recovery,42,Male
1726,1153,751.1284817,Level 1 Recovery,33,Male
1382,1154,726.0641443,Level 1 Recovery,26,Male
2006,1154,939.0973136,Level 1 Recovery,25,Female
219,1155,748.4634012,Level 1 Recovery,32,Female
960,1156,1327.732248,Level 1 Recovery,20,Male
1259,1156,611.2817806,Level 1 Recovery,19,Female
1928,1156,624.0090952,Level 1 Recovery,22,Male
807,1157,907.5000642,Level 1 Recovery,32,Male
150,1161,809.2033356,Level 1 Recovery,23,Male
1480,1162,942.4864124,Level 1 Recovery,23,Female
1965,1163,541.7326288,Level 1 Recovery,25,Male
94,1164,1097.386145,Level 1 Recovery,34,Male
612,1165,655.0470044,Level 1 Recovery,33,Female
1408,1165,1139.893166,Level 1 Recovery,22,Male
875,1168,681.2799726,Level 1 Recovery,22,Female
1764,1168,1375.612274,Level 1 Recovery,30,Female
1789,1168,648.6107131,Level 1 Recovery,34,Male
1955,1168,562.8529804,Level 1 Recovery,35,Male
247,1170,1628.597459,Level 1 Recovery,19,Male
132,1171,1118.554339,Level 1 Recovery,20,Female
237,1171,685.1657346,Level 1 Recovery,18,Female
858,1171,1092.334114,Level 1 Recovery,37,Female
2015,1172,1095.232632,Level 1 Recovery,26,Male
1248,1175,601.8257401,Level 1 Recovery,29,Male
198,1179,1503.312788,Level 1 Recovery,19,Female
1977,1183,1276.574313,Level 1 Recovery,25,Female
1414,1186,1009.910727,Level 1 Recovery,34,Male
773,1188,884.2437847,Level 1 Recovery,30,Female
1149,1189,1297.407541,Level 1 Recovery,27,Female
1623,1189,973.6866625,Level 1 Recovery,31,Female
226,1190,1606.120053,Level 1 Recovery,19,Male
1564,1190,1072.300001,Level 1 Recovery,33,Male
1138,1192,866.3010005,Level 1 Recovery,20,Female
936,1194,1002.933156,Level 1 Recovery,33,Male
1970,1196,697.4536465,Level 1 Recovery,34,Female
249,1198,1315.354942,Level 1 Recovery,26,Male
1679,1198,1464.018628,Level 1 Recovery,25,Female
1234,1199,1274.330575,Level 1 Recovery,19,Female
1049,1200,1369.626964,Level 1 Recovery,36,Male
1268,1201,1016.861726,Level 1 Recovery,38,Female
967,1202,967.5701609,Level 1 Recovery,26,Male
1741,1202,489.7192152,Level 1 Recovery,26,Male
980,1204,1220.918566,Level 1 Recovery,40,Male
1012,1206,1335.04767,Level 1 Recovery,31,Female
511,1207,1030.849929,Level 1 Recovery,21,Female
1907,1211,850.8527033,Level 1 Recovery,23,Male
1715,1212,1832.497052,Level 1 Recovery,29,Female
859,1214,1013.32192,Level 1 Recovery,19,Female
556,1216,1286.968596,Level 1 Recovery,18,Male
506,1217,872.8439511,Level 1 Recovery,36,Male
725,1219,1049.376478,Level 1 Recovery,18,Female
344,1223,888.3704362,Level 1 Recovery,33,Female
739,1223,1554.205176,Level 1 Recovery,29,Female
476,1224,1340.019357,Level 1 Recovery,20,Male
1581,1224,918.8739874,Level 1 Recovery,26,Male
1091,1229,868.4430788,Level 1 Recovery,34,Male
1287,1229,1009.698859,Level 1 Recovery,31,Female
1668,1229,1188.073787,Level 1 Recovery,32,Male
1067,1231,1511.727033,Level 1 Recovery,35,Male
1506,1235,1012.129778,Level 1 Recovery,26,Female
225,1236,1435.338461,Level 1 Recovery,23,Male
155,1237,1032.191594,Level 1 Recovery,24,Female
99,1239,1018.533542,Level 1 Recovery,28,Male
735,1239,1314.268457,Level 1 Recovery,20,Male
1589,1239,1466.449623,Level 1 Recovery,33,Female
40,1240,1872.401301,Level 1 Recovery,24,Female
905,1240,1035.016451,Level 1 Recovery,29,Male
1900,1241,641.0468822,Level 1 Recovery,28,Male
700,1242,989.0017949,Level 1 Recovery,27,Female
1487,1243,944.3154286,Level 1 Recovery,23,Male
1766,1245,936.6669203,Level 1 Recovery,35,Male
194,1246,1421.184927,Level 1 Recovery,28,Female
951,1246,1777.956614,Level 1 Recovery,35,Male
1826,1247,647.224966,Level 1 Recovery,31,Male
525,1249,1102.388664,Level 1 Recovery,40,Male
447,1250,731.5436418,Level 1 Recovery,26,Male
1099,1252,1048.11721,Level 1 Recovery,40,Male
1486,1252,1138.954756,Level 1 Recovery,22,Male
1612,1253,1707.641719,Level 1 Recovery,36,Female
83,1254,949.1550389,Level 1 Recovery,32,Male
1017,1254,1089.0856,Level 1 Recovery,30,Female
1304,1254,896.3538681,Level 1 Recovery,30,Female
1255,1255,1456.601421,Level 1 Recovery,37,Male
1804,1255,946.4892898,Level 1 Recovery,24,Male
1931,1259,1374.817669,Level 1 Recovery,37,Male
472,1260,945.2785997,Level 1 Recovery,18,Male
120,1261,994.8727434,Level 1 Recovery,23,Male
1279,1262,1494.057824,Level 1 Recovery,31,Female
1400,1264,1404.864225,Level 1 Recovery,38,Female
886,1268,972.1030115,Level 1 Recovery,35,Female
1253,1268,1524.611848,Level 1 Recovery,26,Female
1540,1270,1411.395027,Level 1 Recovery,27,Male
1709,1270,1645.130101,Level 1 Recovery,20,Female
1901,1270,1098.377344,Level 1 Recovery,32,Female
1632,1271,1925.586188,Level 1 Recovery,20,Female
1352,1273,1329.835794,Level 1 Recovery,30,Male
1176,1275,1223.964818,Level 1 Recovery,29,Male
1224,1276,1131.371171,Level 1 Recovery,42,Female
1622,1276,1716.283198,Level 1 Recovery,29,Male
808,1279,1545.219301,Level 1 Recovery,27,Male
1004,1279,842.8913838,Level 1 Recovery,20,Female
1495,1280,1125.475651,Level 1 Recovery,19,Female
1989,1286,803.9469564,Level 1 Recovery,18,Female
938,1288,974.4056754,Level 1 Recovery,18,Female
1463,1288,1022.62739,Level 1 Recovery,23,Female
298,1289,1016.640407,Level 1 Recovery,35,Male
576,1292,1034.820433,Level 1 Recovery,21,Male
1925,1294,768.3337318,Level 1 Recovery,25,Female
2026,1294,616.4800434,Level 1 Recovery,28,Male
1586,1295,1182.485186,Level 1 Recovery,35,Male
165,1297,614.6115411,Level 1 Recovery,21,Male
230,1300,800.4059839,Level 1 Recovery,19,Male
864,1301,1116.555554,Level 1 Recovery,19,Female
1006,1301,1282.065838,Level 1 Recovery,28,Male
1844,1301,1039.361529,Level 1 Recovery,34,Female
303,1302,819.1050617,Level 1 Recovery,25,Male
602,1304,640.4685267,Level 1 Recovery,30,Male
994,1304,1284.516643,Level 1 Recovery,31,Female
1237,1304,756.1959025,Level 1 Recovery,31,Male
584,1305,1207.255122,Level 1 Recovery,32,Female
1671,1305,1045.143226,Level 1 Recovery,40,Male
1129,1306,1277.182077,Level 1 Recovery,34,Female
378,1307,1045.331523,Level 1 Recovery,28,Male
1026,1307,921.0172869,Level 1 Recovery,22,Female
516,1308,1521.661381,Level 1 Recovery,40,Male
1673,1311,1938.557167,Level 1 Recovery,42,Male
1895,1312,1025.139774,Level 1 Recovery,19,Male
1128,1314,954.8662328,Level 1 Recovery,25,Male
1810,1319,981.4534971,Level 1 Recovery,25,Male
611,1320,1105.055624,Level 1 Recovery,40,Female
1182,1322,1660.312889,Level 1 Recovery,27,Male
1997,1322,705.468397,Level 1 Recovery,27,Male
471,1326,1130.218262,Level 1 Recovery,33,Female
1873,1326,1286.665758,Level 1 Recovery,32,Female
896,1327,671.293442,Level 1 Recovery,31,Male
946,1327,1333.050574,Level 1 Recovery,33,Female
1398,1328,962.151423,Level 1 Recovery,29,Female
1233,1329,1429.997143,Level 1 Recovery,43,Male
1891,1329,712.6722126,Level 1 Recovery,22,Male
1338,1331,1106.675867,Level 1 Recovery,35,Male
958,1332,1278.528584,Level 1 Recovery,30,Female
1526,1335,1074.968964,Level 1 Recovery,32,Male
1917,1336,1148.743613,Level 1 Recovery,34,Male
74,1337,1121.243877,Level 1 Recovery,29,Male
1634,1338,862.7622359,Level 1 Recovery,26,Male
577,1339,1042.522246,Level 1 Recovery,37,Male
642,1342,1958.864988,Level 1 Recovery,43,Male
868,1343,1101.131329,Level 1 Recovery,19,Male
207,1345,1351.839,Level 1 Recovery,29,Female
870,1347,1103.907577,Level 1 Recovery,25,Male
1481,1347,1403.206105,Level 1 Recovery,18,Female
1114,1348,1263.61425,Level 1 Recovery,31,Male
1791,1350,1183.951324,Level 1 Recovery,41,Male
1222,1352,700.1352224,Level 1 Recovery,23,Female
1315,1352,1311.409337,Level 1 Recovery,22,Male
1807,1352,731.5646341,Level 1 Recovery,26,Female
1950,1353,961.7995192,Level 1 Recovery,24,Male
184,1354,1194.31842,Level 1 Recovery,31,Male
1878,1354,1509.994178,Level 1 Recovery,21,Male
651,1355,1829.535504,Level 1 Recovery,28,Female
1983,1355,1026.966077,Level 1 Recovery,31,Female
737,1356,2031.751803,Level 1 Recovery,28,Male
1499,1356,1762.230756,Level 1 Recovery,23,Male
538,1358,1098.817668,Level 1 Recovery,34,Male
1954,1359,905.6831387,Level 1 Recovery,29,Female
338,1360,657.4232036,Level 1 Recovery,23,Female
22,1361,1095.995113,Level 1 Recovery,35,Male
