year,month,day,hour,location,gender,Res1,Res2
2017,10,7,1,Ames PD,NA,0.199,0.198
2017,10,6,2,Ames PD,F,0.07800000000000001,0.07700000000000001
2017,10,1,7,ISU PD,M,0.168,0.167
2017,9,30,5,ISU PD,M,0.101,0.1
2017,9,30,3,ISU PD,F,0.14100000000000001,0.14100000000000001
2017,9,29,0,ISU PD,F,0.14400000000000002,0.14500000000000002
2017,9,22,2,ISU PD,F,0.181,0.181
2017,9,22,1,Ames PD,M,0.098,0.097
2017,9,21,3,ISU PD,M,0.109,0.10800000000000001
2017,9,17,2,ISU PD,M,0.184,0.183
2017,9,16,3,Ames PD,M,0.15400000000000003,0.15300000000000002
2017,9,16,2,ISU PD,M,0.14700000000000002,0.14600000000000002
2017,9,10,3,Ames PD,M,0.18,0.17900000000000002
2017,9,10,2,Ames PD,M,0.036,0.036
2017,9,10,1,ISU PD,M,0.092,0.091
2017,9,9,17,ISU PD,M,0.184,0.183
2017,9,6,3,ISU PD,M,0.10700000000000001,0.10600000000000001
2017,9,4,3,Ames PD,F,0.136,0.136
2017,9,3,2,Ames PD,M,0.14400000000000002,0.14400000000000002
2017,9,2,21,ISU PD,M,0.20900000000000002,0.20900000000000002
2017,9,2,20,ISU PD,M,0.167,0.168
2017,9,2,3,ISU PD,M,0.118,0.117
2017,9,2,1,Ames PD,M,0.234,0.233
2017,9,1,20,Ames PD,M,0.306,0.306
2017,9,1,3,ISU PD,M,0.126,0.125
2017,8,27,3,Ames PD,M,0.224,0.223
2017,8,27,3,ISU PD,M,0,0
2017,8,25,1,ISU PD,F,0.14600000000000002,0.14600000000000002
2017,8,24,3,ISU PD,F,0.133,0.132
2017,8,24,2,Ames PD,M,0.131,0.13
2017,8,24,2,ISU PD,F,0.191,0.19
2017,8,20,3,Ames PD,M,0.14600000000000002,0.14400000000000002
2017,8,19,13,ISU PD,F,0.032,0.031
2017,8,18,0,ISU PD,M,0.088,0.088
2017,8,17,4,ISU PD,M,0.187,0.185
2017,8,17,3,ISU PD,M,0.135,0.134
2017,8,17,2,Ames PD,M,0.17500000000000002,0.17500000000000002
2017,8,13,2,ISU PD,M,0.15400000000000003,0.15300000000000002
2017,8,13,2,ISU PD,M,0.14,0.139
2017,8,12,23,ISU PD,F,0.081,0.08
2017,8,12,4,Ames PD,M,0.127,0.127
2017,8,12,3,ISU PD,M,0.129,0.128
2017,8,12,2,ISU PD,F,0.17800000000000002,0.17800000000000002
2017,8,12,0,Ames PD,M,0.23,0.23
2017,8,11,22,Ames PD,F,0.169,0.169
2017,8,10,1,ISU PD,M,0.202,0.202
2017,8,8,23,Ames PD,F,0.258,0.257
2017,8,6,4,ISU PD,F,0.10700000000000001,0.10700000000000001
2017,8,6,2,Ames PD,M,0,0
2017,8,6,1,ISU PD,M,0,0
2017,8,4,3,ISU PD,M,0.093,0.092
2017,8,2,3,ISU PD,M,0.10200000000000001,0.10200000000000001
2017,7,25,1,Ames PD,F,0,0
2017,7,23,3,ISU PD,M,0.12000000000000001,0.119
2017,7,18,0,Ames PD,M,0,0
2017,7,15,2,ISU PD,M,0.061,0.06
2017,7,13,3,ISU PD,M,0.15000000000000002,0.14900000000000002
2017,7,12,23,Ames PD,M,0.052000000000000005,0.052000000000000005
2017,7,6,4,Ames PD,M,0.137,0.136
2017,7,4,3,ISU PD,M,0.092,0.091
2017,7,1,0,Ames PD,M,0.16,0.15900000000000003
2017,6,25,3,ISU PD,M,0.088,0.08700000000000001
2017,6,25,3,ISU PD,M,0.093,0.094
2017,6,24,18,Ames PD,M,0.138,0.137
2017,6,24,3,ISU PD,M,0.273,0.272
2017,6,18,2,Ames PD,M,0.06899999999999999,0.068
2017,6,13,0,Ames PD,M,0.049,0.049
2017,6,11,2,Ames PD,M,0.161,0.161
2017,6,11,0,Ames PD,M,0.193,0.192
2017,6,9,0,Ames PD,M,0,0
2017,6,6,1,ISU PD,M,0.047,0.047
2017,6,4,3,Ames PD,M,0.161,0.161
2017,5,30,19,Ames PD,F,0.267,0.266
2017,5,28,18,Ames PD,M,0.189,0.189
2017,5,28,4,ISU PD,F,0.14300000000000002,0.14200000000000002
2017,5,28,1,ISU PD,M,0.117,0.117
2017,5,25,20,Ames PD,M,0.20800000000000002,0.20600000000000002
2017,5,22,9,Ames PD,M,0.29500000000000004,0.29500000000000004
2017,5,21,4,ISU PD,M,0.135,0.135
2017,5,21,2,ISU PD,F,0.084,0.083
2017,5,20,4,ISU PD,M,0.14200000000000002,0.14100000000000001
2017,5,19,2,ISU PD,M,0.129,0.129
2017,5,17,16,Ames PD,F,0.17600000000000002,0.17700000000000002
2017,5,14,3,Ames PD,F,0.181,0.18
2017,5,13,19,ISU PD,M,0.192,0.192
2017,5,13,2,ISU PD,M,0.101,0.101
2017,5,12,2,ISU PD,F,0.082,0.081
2017,5,12,1,Ames PD,M,0.127,0.126
2017,5,11,2,ISU PD,F,0.07800000000000001,0.079
2017,5,10,3,ISU PD,M,0.065,0.064
2017,5,5,7,Ames PD,M,0.199,0.198
2017,5,3,15,Ames PD,M,0,0
2017,5,2,20,Ames PD,M,0.15800000000000003,0.15700000000000003
2017,4,30,4,ISU PD,M,0.10200000000000001,0.101
2017,4,29,3,ISU PD,F,0.15800000000000003,0.15600000000000003
2017,4,29,3,ISU PD,M,0.111,0.11
2017,4,29,3,Ames PD,M,0.091,0.09
2017,4,23,3,Ames PD,M,0.15800000000000003,0.15700000000000003
2017,4,23,2,ISU PD,NA,0.20400000000000001,0.203
2017,4,22,19,Ames PD,M,0.07300000000000001,0.07300000000000001
2017,4,22,2,ISU PD,M,0.12200000000000001,0.12200000000000001
2017,4,22,2,ISU PD,F,0.088,0.088
2017,4,21,2,ISU PD,M,0.133,0.132
2017,4,20,3,Ames PD,M,0.14800000000000002,0.14700000000000002
2017,4,20,2,Ames PD,M,0.125,0.12400000000000001
2017,4,15,4,ISU PD,M,0.198,0.197
2017,4,15,3,Ames PD,M,0.21400000000000002,0.21400000000000002
2017,4,13,10,Ames PD,M,0,0
2017,4,13,2,ISU PD,M,0.07100000000000001,0.07200000000000001
2017,4,13,2,ISU PD,F,0.101,0.1
2017,4,12,22,ISU PD,M,0,0
2017,4,12,21,Ames PD,F,0.17200000000000001,0.171
2017,4,12,11,Ames PD,NA,0,0
2017,4,12,9,ISU PD,NA,0,0
2017,4,12,1,Ames PD,F,0.096,0.095
2017,4,9,23,Ames PD,M,0.161,0.161
2017,4,9,2,Ames PD,M,0.14100000000000001,0.14
2017,4,9,1,ISU PD,M,0.028,0.028
2017,4,7,19,Ames PD,M,0.17300000000000001,0.17300000000000001
2017,4,7,2,Ames PD,F,0.18,0.17900000000000002
2017,4,7,1,Ames PD,M,0.193,0.192
2017,4,6,1,ISU PD,M,0.07,0.07
2017,4,5,21,Ames PD,M,0.07600000000000001,0.07600000000000001
2017,4,5,3,ISU PD,M,0.115,0.114
2017,4,2,2,ISU PD,M,0.059000000000000004,0.059000000000000004
2017,3,31,4,ISU PD,M,0,0
2017,3,31,3,ISU PD,M,0.092,0.092
2017,3,30,15,Ames PD,M,0,0
2017,3,30,15,Ames PD,M,0,0
2017,3,30,15,Ames PD,M,0,0
2017,3,30,2,ISU PD,M,0.12400000000000001,0.12400000000000001
2017,3,26,2,Ames PD,F,0.15700000000000003,0.15800000000000003
2017,3,26,2,ISU PD,M,0.088,0.088
2017,3,25,21,Ames PD,M,0.019,0.019
2017,3,25,2,Ames PD,M,0.046,0.046
2017,3,25,1,Ames PD,M,0.128,0.126
2017,3,24,3,ISU PD,M,0.07600000000000001,0.07500000000000001
2017,3,19,2,ISU PD,M,0.07600000000000001,0.07500000000000001
2017,3,18,3,Ames PD,M,0.10700000000000001,0.10600000000000001
2017,3,18,0,Ames PD,M,0.193,0.192
2017,3,18,0,Ames PD,M,0.14700000000000002,0.14700000000000002
2017,3,15,9,Ames PD,M,0.226,0.224
2017,3,11,3,ISU PD,M,0.14800000000000002,0.14600000000000002
2017,3,11,0,Ames PD,M,0.131,0.13
2017,3,9,1,Ames PD,M,0,0
2017,3,8,2,Ames PD,M,0.17800000000000002,0.17800000000000002
2017,3,6,2,ISU PD,M,0.109,0.10800000000000001
2017,3,4,4,ISU PD,F,0.07500000000000001,0.07400000000000001
2017,3,3,4,ISU PD,F,0.194,0.194
2017,3,3,3,Ames PD,M,0.136,0.135
2017,2,25,4,ISU PD,M,0.17900000000000002,0.17800000000000002
2017,2,25,3,ISU PD,F,0.115,0.114
2017,2,22,4,Ames PD,M,0.21900000000000003,0.21800000000000003
2017,2,22,4,ISU PD,M,0,0
2017,2,19,3,ISU PD,F,0.10600000000000001,0.10600000000000001
2017,2,19,1,ISU PD,F,0.10300000000000001,0.10300000000000001
2017,2,18,13,Ames PD,M,0,0
2017,2,18,3,ISU PD,M,0.14,0.14
2017,2,18,2,ISU PD,F,0.118,0.118
2017,2,17,3,Ames PD,F,0.15700000000000003,0.15700000000000003
2017,2,17,2,ISU PD,M,0.07700000000000001,0.07600000000000001
2017,2,16,1,ISU PD,M,0.15900000000000003,0.15800000000000003
2017,2,14,2,Ames PD,F,0.021,0.022
2017,2,12,2,Ames PD,F,0.17600000000000002,0.17500000000000002
2017,2,12,1,Ames PD,M,0.045,0.045
2017,2,11,1,ISU PD,M,0.095,0.095
2017,2,10,3,ISU PD,M,0.126,0.126
2017,2,6,23,Ames PD,M,0.059000000000000004,0.06
2017,2,5,2,ISU PD,F,0.112,0.112
2017,2,2,2,ISU PD,M,0.21400000000000002,0.21300000000000002
2017,1,28,23,Ames PD,M,0,0
2017,1,27,2,ISU PD,M,0.109,0.10700000000000001
2017,1,26,6,Ames PD,M,0,0
2017,1,26,5,Ames PD,M,0,0
2017,1,26,5,Ames PD,M,0,0
2017,1,25,15,Ames PD,M,0,0
2017,1,24,3,ISU PD,M,0,0
2017,1,23,19,Ames PD,M,0.138,0.137
2017,1,23,6,Ames PD,M,0,0
2017,1,23,2,Ames PD,M,0.112,0.111
2017,1,21,21,Ames PD,M,0.163,0.163
2017,1,21,2,ISU PD,M,0.165,0.164
2017,1,19,23,ISU PD,M,0,0
2017,1,19,5,ISU PD,M,0.095,0.095
2017,1,19,3,ISU PD,F,0.162,0.161
2017,1,17,3,Ames PD,NA,0.127,0.126
2017,1,16,3,ISU PD,M,0.171,0.171
2017,1,15,2,Ames PD,M,0.185,0.184
2017,1,15,2,Ames PD,M,0.15600000000000003,0.15600000000000003
2017,1,14,23,ISU PD,F,0.07700000000000001,0.07700000000000001
2017,1,14,2,ISU PD,M,0.137,0.136
2017,1,13,23,ISU PD,F,0.183,0.182
2017,1,13,3,ISU PD,M,0.14300000000000002,0.14200000000000002
2017,1,13,2,Ames PD,M,0.17500000000000002,0.17400000000000002
2017,1,11,4,ISU PD,M,0,0
2017,1,9,1,ISU PD,M,0,0
2017,1,8,3,ISU PD,M,0.094,0.093
2017,1,7,22,Ames PD,M,0,0
2017,1,4,20,Ames PD,M,0.192,0.192
2017,1,3,2,Ames PD,M,0,0
2017,1,2,2,Ames PD,M,0.054000000000000006,0.053000000000000005
2016,12,30,21,Ames PD,M,0.10800000000000001,0.10700000000000001
2016,12,26,3,ISU PD,M,0.185,0.184
2016,12,20,1,ISU PD,M,0.003,0.005
2016,12,17,4,Ames PD,M,0.092,0.091
2016,12,16,2,ISU PD,M,0.129,0.129
2016,12,8,22,Ames PD,M,0.15700000000000003,0.15700000000000003
2016,12,8,18,Ames PD,F,0.1,0.1
2016,12,7,2,Ames PD,M,0.21800000000000003,0.21700000000000003
2016,12,3,19,Ames PD,M,0.21500000000000002,0.21500000000000002
2016,12,3,17,Ames PD,F,0,0
2016,12,3,3,ISU PD,F,0.089,0.088
2016,12,3,2,ISU PD,M,0.163,0.163
2016,12,1,4,ISU PD,F,0.167,0.166
2016,12,1,0,Ames PD,F,0.15400000000000003,0.15300000000000002
2016,11,27,5,Ames PD,M,0.13,0.13
2016,11,27,4,ISU PD,M,0.118,0.118
2016,11,25,7,Ames PD,F,0.065,0.065
2016,11,20,2,ISU PD,M,0.07800000000000001,0.07800000000000001
2016,11,18,3,Ames PD,M,0.097,0.097
2016,11,16,3,Ames PD,NA,0.16,0.15900000000000003
2016,11,14,1,Ames PD,NA,0.17,0.17
2016,11,13,4,ISU PD,M,0.049,0.049
2016,11,12,3,Ames PD,F,0.166,0.165
2016,11,12,3,ISU PD,F,0.07800000000000001,0.07700000000000001
2016,11,12,2,ISU PD,F,0.034,0.034
2016,11,7,19,ISU PD,M,0.24900000000000003,0.24800000000000003
2016,11,6,11,Ames PD,M,0.127,0.127
2016,11,6,2,ISU PD,F,0.162,0.161
2016,11,6,1,Ames PD,M,0.011,0.011
2016,11,5,2,ISU PD,M,0.136,0.136
2016,11,4,1,Ames PD,M,0.182,0.181
2016,11,2,2,ISU PD,M,0,0
2016,10,30,5,Ames PD,M,0.198,0.198
2016,10,30,2,Ames PD,M,0.098,0.097
2016,10,30,2,ISU PD,M,0,0
2016,10,30,1,Ames PD,M,0.098,0.098
2016,10,29,3,ISU PD,M,0.14800000000000002,0.14800000000000002
2016,10,28,22,Ames PD,M,0,0
2016,10,28,3,ISU PD,F,0.094,0.093
2016,10,28,3,ISU PD,M,0.12300000000000001,0.12300000000000001
2016,10,28,2,Ames PD,M,0.092,0.092
2016,10,25,2,ISU PD,M,0,0
2016,10,23,4,Ames PD,M,0.081,0.08
2016,10,23,3,Ames PD,M,0.125,0.12400000000000001
2016,10,17,15,Ames PD,F,0.24700000000000003,0.24700000000000003
2016,10,16,2,ISU PD,M,0.134,0.134
2016,10,15,18,Ames PD,F,0.228,0.228
2016,10,14,3,Ames PD,M,0.135,0.134
2016,10,9,3,ISU PD,F,0.14300000000000002,0.14200000000000002
2016,10,8,0,Ames PD,M,0.052000000000000005,0.051000000000000004
2016,10,2,4,Ames PD,M,0.117,0.117
2016,10,2,1,Ames PD,M,0,0
2016,9,30,2,ISU PD,M,0.169,0.169
2016,9,30,1,ISU PD,M,0,0
2016,9,27,20,Ames PD,M,0.258,0.257
2016,9,25,4,Ames PD,M,0.128,0.127
2016,9,25,3,ISU PD,F,0.168,0.167
2016,9,24,4,Ames PD,M,0.127,0.127
2016,9,24,3,Ames PD,F,0.21100000000000002,0.21100000000000002
2016,9,24,3,ISU PD,M,0.14100000000000001,0.14
2016,9,24,2,ISU PD,M,0.117,0.117
2016,9,24,2,ISU PD,F,0.168,0.167
2016,9,24,1,ISU PD,F,0.15600000000000003,0.15500000000000003
2016,9,18,4,Ames PD,M,0.047,0.047
2016,9,18,3,ISU PD,M,0.15300000000000002,0.15300000000000002
2016,9,17,3,ISU PD,M,0.132,0.13
2016,9,16,21,Ames PD,F,0.25,0.24800000000000003
2016,9,16,4,Ames PD,M,0.21000000000000002,0.20900000000000002
2016,9,12,2,ISU PD,M,0.089,0.088
2016,9,12,2,ISU PD,M,0.17700000000000002,0.17600000000000002
2016,9,11,3,ISU PD,M,0.131,0.131
2016,9,11,2,Ames PD,M,0.23500000000000001,0.234
2016,9,10,4,ISU PD,M,0.23500000000000001,0.234
2016,9,10,1,Ames PD,M,0.21600000000000003,0.21500000000000002
2016,9,8,5,ISU PD,M,0.16,0.15900000000000003
2016,9,6,3,Ames PD,M,0.20900000000000002,0.20900000000000002
2016,9,5,23,ISU PD,M,0.15300000000000002,0.15200000000000002
2016,9,4,3,ISU PD,M,0.133,0.133
2016,9,4,3,ISU PD,M,0.07800000000000001,0.07800000000000001
2016,9,3,3,ISU PD,M,0.046,0.045
2016,9,3,3,Ames PD,M,0.164,0.164
2016,9,3,1,ISU PD,F,0.056,0.056
2016,9,2,20,Ames PD,M,0,0
2016,9,2,3,Ames PD,M,0.109,0.109
2016,9,2,1,Ames PD,F,0.07,0.07
2016,8,28,20,ISU PD,M,0.019,0.019
2016,8,28,12,Ames PD,M,0.17,0.169
2016,8,28,2,Ames PD,M,0.191,0.19
2016,8,28,1,ISU PD,M,0,0
2016,8,28,1,Ames PD,M,0.14700000000000002,0.14600000000000002
2016,8,27,23,Ames PD,F,0.044,0.043000000000000003
2016,8,27,5,ISU PD,M,0.08600000000000001,0.08600000000000001
2016,8,27,3,Ames PD,M,0.15900000000000003,0.15900000000000003
2016,8,26,2,Ames PD,F,0.161,0.16
2016,8,24,2,Ames PD,M,0.191,0.19
2016,8,24,1,Ames PD,F,0.18,0.17900000000000002
2016,8,21,6,ISU PD,M,0.109,0.109
2016,8,21,2,Ames PD,F,0.15100000000000002,0.15100000000000002
2016,8,20,3,ISU PD,F,0.199,0.198
2016,8,20,3,ISU PD,F,0.088,0.08700000000000001
2016,8,19,3,ISU PD,M,0.036,0.034999999999999996
2016,8,17,18,Ames PD,M,0,0
2016,8,17,1,ISU PD,M,0.027,0.027
2016,8,13,3,ISU PD,NA,0.08600000000000001,0.085
2016,8,12,5,Ames PD,M,0.17400000000000002,0.17400000000000002
2016,8,11,5,Ames PD,M,0,0
2016,8,10,5,Ames PD,M,0,0
2016,8,10,3,ISU PD,M,0.12200000000000001,0.12300000000000001
2016,8,9,4,ISU PD,M,0,0
2016,8,6,3,ISU PD,F,0.042,0.042
2016,8,6,3,Ames PD,F,0.14300000000000002,0.14300000000000002
2016,8,6,0,ISU PD,M,0.037,0.037
2016,8,5,2,ISU PD,M,0.14400000000000002,0.14400000000000002
2016,8,4,2,ISU PD,M,0.119,0.119
2016,8,4,0,Ames PD,F,0.21100000000000002,0.21100000000000002
2016,8,3,2,ISU PD,M,0.195,0.193
2016,8,3,0,Ames PD,M,0.056,0.055
2016,7,31,1,ISU PD,F,0.161,0.16
2016,7,29,3,ISU PD,M,0.09899999999999999,0.09899999999999999
2016,7,29,2,ISU PD,M,0.10500000000000001,0.10400000000000001
2016,7,29,2,ISU PD,F,0.129,0.129
2016,7,28,1,ISU PD,M,0.049,0.049
2016,7,26,0,ISU PD,M,0,0
2016,7,23,1,Ames PD,F,0.223,0.222
2016,7,20,3,ISU PD,M,0.191,0.19
2016,7,19,5,ISU PD,M,0.15900000000000003,0.15900000000000003
2016,7,13,0,ISU PD,F,0.14600000000000002,0.14400000000000002
2016,7,12,3,ISU PD,M,0.048,0.047
2016,7,10,3,ISU PD,F,0.1,0.09899999999999999
2016,7,8,2,ISU PD,M,0.115,0.115
2016,7,7,1,ISU PD,M,0.132,0.132
2016,7,4,3,ISU PD,M,0,0
2016,7,3,2,ISU PD,M,0.10300000000000001,0.10400000000000001
2016,7,2,2,Ames PD,F,0,0
2016,7,1,0,Ames PD,M,0.192,0.192
2016,6,30,2,Ames PD,M,0.186,0.185
2016,6,29,16,Ames PD,NA,0,0
2016,6,26,4,ISU PD,M,0.125,0.12400000000000001
2016,6,26,0,ISU PD,F,0.161,0.16
2016,6,25,10,Ames PD,M,0,0
2016,6,25,2,ISU PD,M,0.17400000000000002,0.17400000000000002
2016,6,24,2,Ames PD,F,0.112,0.112
2016,6,23,2,ISU PD,M,0.128,0.128
2016,6,22,9,Ames PD,M,0,0
2016,6,21,4,Ames PD,M,0.16,0.15900000000000003
2016,6,21,1,ISU PD,M,0.118,0.118
2016,6,20,23,Ames PD,F,0.167,0.166
2016,6,19,3,ISU PD,M,0.12400000000000001,0.12400000000000001
2016,6,19,2,ISU PD,M,0.15200000000000002,0.15200000000000002
2016,6,19,1,Ames PD,M,0.201,0.2
2016,6,17,23,Ames PD,F,0,0
2016,6,15,4,Ames PD,M,0.118,0.117
2016,6,11,1,ISU PD,F,0,0
2016,6,11,0,Ames PD,M,0.09,0.089
2016,6,10,20,Ames PD,F,0.231,0.23
2016,6,9,20,Ames PD,F,0.259,0.258
2016,6,9,2,Ames PD,NA,0.07300000000000001,0.07300000000000001
2016,6,4,2,Ames PD,M,0.15300000000000002,0.15100000000000002
2016,6,4,2,Ames PD,M,0.091,0.091
2016,6,4,1,ISU PD,M,0.07800000000000001,0.07800000000000001
2016,6,3,22,Ames PD,F,0.18,0.17900000000000002
2016,6,3,1,Ames PD,M,0.037,0.036
2016,6,2,2,ISU PD,F,0.10200000000000001,0.10200000000000001
2016,6,1,2,Ames PD,M,0.14200000000000002,0.14100000000000001
2016,5,30,20,Ames PD,F,0,0
2016,5,29,3,Ames PD,F,0.181,0.18
2016,5,29,1,ISU PD,M,0.07400000000000001,0.07400000000000001
2016,5,28,5,ISU PD,F,0.10400000000000001,0.10400000000000001
2016,5,28,3,Ames PD,F,0.10800000000000001,0.10800000000000001
2016,5,25,18,Ames PD,M,0.169,0.169
2016,5,25,3,Ames PD,M,0,0
2016,5,25,2,Ames PD,M,0.098,0.098
2016,5,24,23,ISU PD,M,0.10700000000000001,0.10800000000000001
2016,5,22,2,ISU PD,M,0.07200000000000001,0.07100000000000001
2016,5,21,3,ISU PD,M,0.07300000000000001,0.07200000000000001
2016,5,21,2,Ames PD,M,0.188,0.187
2016,5,21,1,Ames PD,M,0.111,0.111
2016,5,15,2,Ames PD,M,0.15400000000000003,0.15400000000000003
2016,5,12,2,Ames PD,M,0.07500000000000001,0.07400000000000001
2016,5,8,3,ISU PD,M,0.14500000000000002,0.14500000000000002
2016,5,7,3,ISU PD,M,0.063,0.061
2016,5,7,2,ISU PD,F,0.17600000000000002,0.17500000000000002
2016,5,7,1,Ames PD,M,0,0
2016,5,6,20,Ames PD,M,0.135,0.134
2016,5,6,3,Ames PD,M,0.031,0.03
2016,5,2,14,Ames PD,M,0,0
2016,5,2,12,Ames PD,NA,0,0
2016,5,2,10,ISU PD,NA,0,0
2016,4,30,2,ISU PD,M,0.169,0.169
2016,4,29,1,Ames PD,M,0,0
2016,4,27,2,Ames PD,M,0.034,0.033
2016,4,26,17,Ames PD,F,0.303,0.302
2016,4,24,2,ISU PD,M,0.022,0.023
2016,4,21,0,Ames PD,M,0,0
2016,4,19,19,Ames PD,M,0,0
2016,4,18,1,Ames PD,M,0.083,0.083
2016,4,17,3,ISU PD,M,0.098,0.098
2016,4,17,2,Ames PD,M,0.232,0.231
2016,4,16,23,Ames PD,F,0.135,0.136
2016,4,16,23,Ames PD,F,0.14200000000000002,0.14200000000000002
2016,4,16,2,ISU PD,F,0.20800000000000002,0.20900000000000002
2016,4,16,1,ISU PD,M,0.13,0.13
2016,4,13,1,ISU PD,M,0.183,0.182
2016,4,12,3,ISU PD,F,0.197,0.197
2016,4,10,3,ISU PD,F,0.196,0.196
2016,4,9,12,Ames PD,M,0,0
2016,4,9,2,Ames PD,M,0.186,0.185
2016,4,4,0,Ames PD,F,0,0
2016,4,3,2,ISU PD,F,0.15300000000000002,0.15200000000000002
2016,3,29,19,Ames PD,M,0,0
2016,3,28,3,Ames PD,M,0.139,0.139
2016,3,27,3,Ames PD,M,0.10500000000000001,0.10500000000000001
2016,3,26,2,ISU PD,M,0.126,0.126
2016,3,25,21,Ames PD,M,0.2,0.2
2016,3,25,16,Ames PD,F,0.17800000000000002,0.17700000000000002
2016,3,23,3,Ames PD,M,0.12100000000000001,0.12100000000000001
2016,3,23,2,ISU PD,F,0.164,0.164
2016,3,21,2,ISU PD,M,0.109,0.109
2016,3,20,2,Ames PD,M,0,0
2016,3,20,2,Ames PD,M,0.167,0.166
2016,3,19,4,Ames PD,M,0.167,0.166
2016,3,19,3,Ames PD,M,0.14100000000000001,0.14
2016,3,18,2,Ames PD,F,0.225,0.224
2016,3,17,3,Ames PD,M,0.12400000000000001,0.12400000000000001
2016,3,14,1,Ames PD,M,0.224,0.224
2016,3,11,2,Ames PD,F,0.14400000000000002,0.14400000000000002
2016,3,11,2,Ames PD,F,0.188,0.188
2016,3,6,20,Ames PD,M,0.117,0.116
2016,3,6,3,Ames PD,F,0.15800000000000003,0.15700000000000003
2016,3,6,1,Ames PD,M,0.15400000000000003,0.15400000000000003
2016,3,5,22,ISU PD,M,0.07,0.07
2016,3,4,2,ISU PD,M,0,0
2016,3,4,2,ISU PD,M,0.097,0.097
2016,2,27,3,Ames PD,M,0.15600000000000003,0.15400000000000003
2016,2,27,3,ISU PD,F,0.07100000000000001,0.07100000000000001
2016,2,26,21,Ames PD,M,0.23500000000000001,0.234
2016,2,26,8,Ames PD,F,0.127,0.126
2016,2,26,2,ISU PD,F,0.183,0.183
2016,2,24,21,Ames PD,F,0.164,0.164
2016,2,21,3,ISU PD,F,0.117,0.116
2016,2,20,2,ISU PD,M,0.12300000000000001,0.12200000000000001
2016,2,16,2,Ames PD,F,0.187,0.187
2016,2,14,15,Ames PD,M,0.195,0.195
2016,2,13,3,ISU PD,F,0.182,0.181
