movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
Big Business,1988-06-10,Comedy,PG,40150487,82352451
Who Framed Roger Rabbit?,1988-06-22,Comedy,PG,154112492,316250084
Cocktail,1988-07-29,Drama,R,78222753,160442289
The Rescue,1988-08-05,Action,,5855392,12009960
Heartbreak Hotel,1988-09-30,Comedy,,5509417,11300331
The Good Mother,1988-11-04,Drama,,4764606,9772655
Ernest Saves Christmas,1988-11-11,Comedy,PG,28202109,57845202
Oliver & Company,1988-11-18,Adventure,G,49576671,102254492
Beaches,1988-12-21,Drama,PG-13,57041866,120381757
Three Fugitives,1989-01-27,Comedy,PG-13,40590000,85757817
New York Stories,1989-03-01,Drama,PG,10763469,22740861
Disorganized Crime,1989-04-14,Comedy,,7210149,15233465
Dead Poets Society,1989-06-02,Drama,PG,95860116,202531517
"Honey, I Shrunk the Kids",1989-06-23,Adventure,PG,130724172,276191669
Turner & Hooch,1989-07-28,Comedy,PG,71079915,150176361
Cheetah,1989-08-18,Adventure,,7882250,16653473
An Innocent Man,1989-10-06,Drama,R,19397847,40983414
Gross Anatomy,1989-10-20,Drama,PG-13,11346186,23972012
The Little Mermaid,1989-11-15,Adventure,G,111543479,223726012
Blaze,1989-12-13,Drama,R,19049727,39884640
Stella,1990-02-02,Drama,PG-13,20062347,40077147
Where the Heart Is,1990-02-23,Comedy,,1106475,2210321
Pretty Woman,1990-03-23,Romantic Comedy,R,178406268,356389765
Ernest Goes to Jail,1990-04-06,Comedy,PG,25029569,49999822
Spaced Invaders,1990-04-27,Comedy,PG,15000000,29964452
Fire Birds,1990-05-24,Action,PG-13,14760451,29485923
Dick Tracy,1990-06-15,Action,PG,103738726,207231621
Betsy's Wedding,1990-06-22,Comedy,R,19740070,39433357
Arachnophobia,1990-07-18,Thriller/Suspense,PG-13,53208180,106290270
DuckTales: The Movie - Treasure of th…,1990-08-03,Adventure,G,18075331,36107823
Taking Care of Business,1990-08-17,Comedy,R,20005435,39963460
Mr. Destiny,1990-10-12,Comedy,PG-13,15379253,30722056
The Rescuers Down Under,1990-11-16,Adventure,G,27931461,55796728
3 Men and a Little Lady,1990-11-21,Comedy,PG,71609321,143108869
Green Card,1990-12-25,Romantic Comedy,PG-13,29804169,59679131
White Fang,1991-01-18,Adventure,PG,34729091,69540672
Scenes from a Mall,1991-02-22,Comedy,,9563393,19149495
Haakon Haakonsen,1991-03-01,Adventure,PG,15024232,30084149
The Marrying Man,1991-04-05,Romantic Comedy,R,12454768,24939118
Oscar,1991-04-26,Comedy,PG,23562716,47181395
One Good Cop,1991-05-03,Action,R,11276846,22580472
What About Bob?,1991-05-17,Comedy,PG,63710000,127571325
Wild Hearts Can't Be Broken,1991-05-24,Drama,,7300000,14617333
The Rocketeer,1991-06-21,Action,PG,46573027,93256673
The Doctor,1991-07-24,Drama,PG-13,37497480,75084021
Paradise,1991-09-18,Drama,PG-13,18634643,37313540
Deceived,1991-09-27,Thriller/Suspense,PG-13,28738096,57544453
Ernest Scared Stupid,1991-10-11,Comedy,PG,14143280,28320147
Billy Bathgate,1991-11-01,Drama,R,15565363,31167691
Beauty and the Beast,1991-11-13,Musical,G,218951625,363017667
Father of the Bride,1991-12-20,Comedy,PG,89325780,179821881
The Hand That Rocks the Cradle,1992-01-10,Thriller/Suspense,R,88036683,178831137
Medicine Man,1992-02-07,Drama,PG-13,44948240,91304495
Blame it on the Bellboy,1992-03-06,Comedy,PG-13,2891055,5872667
Noises Off...,1992-03-20,Comedy,PG-13,2280148,4631720
Straight Talk,1992-04-03,Comedy,PG,21202099,43068356
Newsies,1992-04-08,,PG,2706352,5497481
Passed Away,1992-04-24,,PG-13,4030793,8187848
Encino Man,1992-05-22,Comedy,PG,40057130,81369058
Sister Act,1992-05-29,Comedy,PG,139605150,283583472
Honey I Blew Up the Kid,1992-07-17,Comedy,PG,58662452,119162518
A Stranger Among Us,1992-07-17,Drama,PG-13,12282994,24950752
3 Ninjas,1992-08-07,Action,PG,29028000,58965304
A Gun in Betty Lou's Handbag,1992-08-21,,PG-13,3591460,7295423
Captain Ron,1992-09-18,Comedy,PG-13,22518097,45741576
Sarafina!,1992-09-18,Drama,PG-13,7306242,14841352
Innocent Blood,1992-09-25,Horror,R,4877567,9907922
The Mighty Ducks,1992-10-02,Comedy,PG,50752337,103120810
1492: Conquest of Paradise,1992-10-09,Adventure,PG-13,7099531,14421454
Consenting Adults,1992-10-16,Drama,R,21591728,43859823
Aladdin,1992-11-11,Comedy,G,217350219,441969178
The Distinguished Gentleman,1992-12-04,Comedy,R,46434570,94349900
The Muppet Christmas Carol,1992-12-11,Comedy,G,27281507,55417615
Alive,1993-01-15,Adventure,R,36299670,73914543
Aspen Extreme,1993-01-22,Romantic Comedy,PG-13,7843388,15970955
Homeward Bound: The Incredible Journey,1993-02-03,Adventure,G,41833324,85182343
The Cemetery Club,1993-02-03,Comedy,PG-13,5583621,11369541
Swing Kids,1993-03-05,Musical,PG-13,5632086,11468231
A Far Off Place,1993-03-12,Adventure,PG,12890752,26248558
Born Yesterday,1993-03-26,Romantic Comedy,PG,17760754,36165012
The Adventures of Huck Finn,1993-04-02,Adventure,PG,24103594,49080505
Bound by Honor,1993-04-16,,R,4496583,9156084
Indian Summer,1993-04-23,Comedy,R,14717851,29968953
Super Mario Bros.,1993-05-28,Action,PG,20844907,42445058
Guilty as Sin,1993-06-04,Thriller/Suspense,R,22622537,46064723
Life With Mikey,1993-06-04,Comedy,PG,12349549,25146538
What's Love Got to Do With It,1993-06-09,Drama,R,39100956,79618610
Son in Law,1993-07-02,Comedy,PG-13,25989889,52921433
Hocus Pocus,1993-07-16,Comedy,PG,39360491,80147079
Another Stakeout,1993-07-23,Comedy,PG-13,20107504,40943541
My Boyfriend's Back,1993-08-06,,PG-13,3218882,6554384
Father Hood,1993-08-27,,PG-13,3268203,6654819
The Joy Luck Club,1993-09-08,Drama,R,32790064,66768171
Money for Nothing,1993-09-10,Comedy,R,1044824,2127496
The Program,1993-09-24,Action,R,23042200,46919256
Cool Runnings,1993-10-01,Comedy,PG,68856263,140392731
The Nightmare Before Christmas,1993-10-13,Musical,PG,50408318,100026637
The Three Musketeers,1993-11-12,Adventure,PG,53661805,109310377
Sister Act 2 Back in the Habit,1993-12-10,Comedy,PG,57319029,116965668
Tombstone,1993-12-25,Western,R,56505065,115781734
The Air Up There,1994-01-07,Comedy,PG,20782439,42940186
Cabin Boy,1994-01-07,Comedy,PG-13,3469493,7168577
Iron Will,1994-01-14,Drama,PG,20623071,42610902
Red Rock West,1994-01-28,,R,2502551,5170709
Blank Check,1994-02-11,Comedy,PG,30573770,63170804
Angie,1994-03-04,Comedy,R,9252349,19116981
The Ref,1994-03-09,Comedy,R,11325885,23401275
D2: The Mighty Ducks,1994-03-25,Comedy,PG,45604206,94226333
Holy Matrimony,1994-04-08,Comedy,,713234,1473665
White Fang 2: Myth of the White Wolf,1994-04-15,Adventure,PG,8752399,18083994
The Inkwell,1994-04-22,Comedy,R,8864699,18316030
When a Man Loves a Woman,1994-04-29,Drama,R,50021959,103354194
3 Ninjas Kick Back,1994-05-06,Action,PG,11744960,24267154
Renaissance Man,1994-06-03,Comedy,PG-13,24172899,49945474
The Lion King,1994-06-15,Adventure,G,422780140,761640898
I Love Trouble,1994-06-29,Romantic Comedy,PG,30806194,63651027
Angels in the Outfield,1994-07-15,Comedy,PG,50236831,103798152
In the Army Now,1994-08-12,Comedy,PG,28881266,59673787
Color of Night,1994-08-19,Thriller/Suspense,R,19750470,40804816
Camp Nowhere,1994-08-26,Comedy,PG,10442641,21576332
It's Pat,1994-08-26,Comedy,,60822,125666
A Simple Twist of Fate,1994-09-02,Drama,PG-13,3404935,7035189
Quiz Show,1994-09-14,Drama,PG-13,24787282,50840394
Terminal Velocity,1994-09-23,Action,PG-13,16478900,34048315
Ed Wood,1994-09-30,Comedy,R,5828466,12042634
The Puppet Masters,1994-10-21,Horror,R,8579626,17727017
Squanto: A Warrior's Tale,1994-10-28,Drama,PG,3319344,6858345
The Santa Clause,1994-11-11,Comedy,PG,144833357,298369717
A Low Down Dirty Shame,1994-11-23,Action,R,29317886,60321919
The Jungle Book,1994-12-25,Adventure,PG,44342956,88930321
Houseguest,1995-01-06,Comedy,PG,26325256,51016522
Bad Company,1995-01-20,Thriller/Suspense,R,3523909,6829092
Miami Rhapsody,1995-01-27,Romantic Comedy,PG-13,5086578,9857435
The Jerky Boys,1995-02-03,Comedy,R,7555256,14641561
Heavy Weights,1995-02-17,Comedy,PG,17671310,34245779
Man of the House,1995-03-03,Comedy,PG,40029009,77573459
Roommates,1995-03-03,Comedy,PG,12076989,23404369
Tall Tale,1995-03-24,Western,PG,8247627,15983331
A Pyromaniac's Love Story,1995-03-28,Romantic Comedy,PG,468240,907414
Jefferson in Paris,1995-03-31,Drama,PG-13,2461628,4770461
Funny Bones,1995-03-31,Comedy,R,529135,1025425
A Goofy Movie,1995-04-07,Comedy,G,35336439,68479579
While You Were Sleeping,1995-04-21,Romantic Comedy,PG,81057016,157082900
Crimson Tide,1995-05-12,Action,R,91387195,177102077
Mad Love,1995-05-26,Drama,PG-13,15446532,29934306
Pocahontas,1995-06-10,Adventure,G,141579773,274370957
Judge Dredd,1995-06-30,Action,R,34687912,67222776
Operation Dumbo Drop,1995-07-28,Adventure,PG,24670346,47809421
Dangerous Minds,1995-08-11,Drama,R,84919401,164552293
A Kid in King Arthur's Court,1995-08-11,Adventure,PG,13406717,25981285
The Tie That Binds,1995-09-08,Thriller/Suspense,R,5762795,11167895
Unstrung Heroes,1995-09-15,Drama,PG,7929000,15365850
The Big Green,1995-09-29,Comedy,PG,17736619,34372339
Dead Presidents,1995-10-04,Drama,R,24120194,46741467
The Scarlet Letter,1995-10-13,Drama,R,10359006,20075033
Feast of July,1995-10-13,Drama,R,293274,568342
Powder,1995-10-27,Drama,PG-13,30833914,59727216
Toy Story,1995-11-22,Adventure,G,191796233,370409631
Father of the Bride Part II,1995-12-08,Comedy,PG,76578911,147658438
Nixon,1995-12-20,Drama,R,13668249,26302005
Tom and Huck,1995-12-22,Adventure,PG,23837227,45911517
Mr. Holland's Opus,1995-12-29,Drama,PG,82582604,157508868
White Squall,1996-02-02,Adventure,PG-13,10229300,19509726
Muppet Treasure Island,1996-02-16,Adventure,G,34327391,65470567
Mr. Wrong,1996-02-16,Romantic Comedy,PG-13,12805071,24422334
Before and After,1996-02-23,Drama,PG-13,8642118,16482589
Up Close & Personal,1996-03-01,Drama,PG-13,51045801,97356578
Homeward Bound II: Lost in San Franc…,1996-03-08,Adventure,G,32709423,62384706
Two Much,1996-03-15,Romantic Comedy,PG-13,1078555,2057055
Un indien dans la ville,1996-03-22,Comedy,PG,1029731,1963937
James and the Giant Peach,1996-04-12,Adventure,PG,28921264,55159783
Celtic Pride,1996-04-19,Comedy,PG-13,9240378,17623615
Last Dance,1996-05-03,Drama,R,5857534,11171714
Boys,1996-05-10,Drama,PG-13,21930418,41826566
Spy Hard,1996-05-24,Comedy,PG-13,26936265,51373912
Eddie,1996-05-31,Comedy,PG-13,31369401,59828966
The Rock,1996-06-07,Action,R,134069511,255702705
The Hunchback of Notre Dame,1996-06-21,Adventure,G,100138851,190988799
Phenomenon,1996-07-05,Drama,PG,104636382,199559799
Kazaam,1996-07-17,Comedy,PG,18880508,36009655
Jack,1996-08-09,Drama,PG-13,58617334,111792852
First Kid,1996-08-30,Comedy,PG,26465920,50465108
The Rich Man's Wife,1996-09-13,Thriller/Suspense,R,8538318,16284619
D3: The Mighty Ducks,1996-10-04,Comedy,PG,22936273,43713554
The Associate,1996-10-25,Comedy,PG-13,12772657,24333094
Ransom,1996-11-08,Action,R,136492681,259807820
The War at Home,1996-11-20,,R,34368,65543
101 Dalmatians,1996-11-27,Comedy,G,136189294,258728898
The Preacher's Wife,1996-12-13,Drama,PG,48102795,91076877
Evita,1996-12-25,Musical,PG,50047179,92077628
Metro,1997-01-17,Action,R,32017895,58804106
Prefontaine,1997-01-24,Drama,PG-13,590817,1085093
Shadow Conspiracy,1997-01-31,Thriller/Suspense,R,2154540,3957025
That Darn Cat,1997-02-14,Comedy,PG,18301828,33613158
Jungle 2 Jungle,1997-03-07,Comedy,PG,59925026,110058379
The Sixth Man,1997-03-28,Comedy,PG-13,14765099,27117599
Grosse Pointe Blank,1997-04-11,Black Comedy,R,28084357,51579764
Romy and Michele's High School Reunion,1997-04-25,Comedy,R,29235353,53693680
Gone Fishin',1997-05-30,Comedy,PG,19745922,36265379
Con Air,1997-06-06,Action,R,101117573,185712664
Hercules,1997-06-13,Adventure,G,99112101,182029412
George Of The Jungle,1997-07-16,Comedy,PG,105263257,193326632
Nothing To Lose,1997-07-18,Comedy,R,44480039,81692095
Air Bud,1997-08-01,Comedy,PG,24646936,45266588
G.I. Jane,1997-08-22,Drama,R,48169156,88467531
A Thousand Acres,1997-09-19,Drama,R,7928412,14561324
Washington Square,1997-10-05,Drama,PG,1775644,3257546
Rocket Man,1997-10-10,Comedy,PG,15448043,28371890
Playing God,1997-10-17,Thriller/Suspense,R,4166918,7652965
Flubber,1997-11-26,Comedy,PG,92993801,170406423
An American Werewolf in Paris,1997-12-25,Horror,R,26570463,48546161
Mr. Magoo,1997-12-25,Comedy,PG,21437192,39145784
Kundun,1997-12-25,Drama,PG-13,5686694,10236836
Deep Rising,1998-01-30,Action,R,11203026,20136775
Krippendorf's Tribe,1998-02-27,Comedy,PG-13,7571115,13608633
An Alan Smithee Film: Burn Hollywood …,1998-02-27,Comedy,R,45779,82277
Meet the Deedles,1998-03-27,Comedy,PG,4356126,7829877
He Got Game,1998-05-01,Drama,R,21567853,38766948
The Horse Whisperer,1998-05-15,Drama,PG-13,75383563,135497531
"Six Days, Seven Nights",1998-06-12,Romantic Comedy,PG-13,74339294,133620516
Mulan,1998-06-19,Adventure,G,120620254,216807832
Armageddon,1998-07-01,Adventure,PG-13,201578182,362324957
Jane Austen's Mafia,1998-07-24,Comedy,PG-13,19843795,35668055
The Parent Trap,1998-07-29,Comedy,PG,66308518,119185667
Firelight,1998-09-04,Drama,R,784419,1409943
Simon Birch,1998-09-11,Drama,PG,18253415,32809442
Holy Man,1998-10-09,Comedy,PG,12069719,21694605
Beloved,1998-10-16,Drama,R,22852487,41062682
The Waterboy,1998-11-06,Comedy,PG-13,161491646,288691833
I'll Be Home For Christmas,1998-11-13,Comedy,PG,12214338,21941840
A Bug's Life,1998-11-20,Adventure,G,162798565,288981698
Enemy of the State,1998-11-20,Action,R,111549836,198472008
Rushmore,1998-12-11,Black Comedy,R,17105219,28392518
A Civil Action,1998-12-25,Drama,PG-13,56709981,94139530
Mighty Joe Young,1998-12-25,Adventure,PG,50632037,87906042
My Favorite Martian,1999-02-12,Comedy,PG,36850101,61150849
The Other Sister,1999-02-26,Romantic Comedy,PG-13,27807627,46145331
Doug's 1st Movie,1999-03-26,Adventure,G,19421271,32228598
Ten Things I Hate About You,1999-03-31,Romantic Comedy,PG-13,38177966,63354375
Endurance,1999-05-14,,PG,229128,380218
Instinct,1999-06-04,Drama,R,34105207,56595842
Tarzan,1999-06-16,Adventure,G,171091819,283900254
Summer of Sam,1999-07-02,Drama,R,19288130,32007656
Inspector Gadget,1999-07-23,Comedy,PG,97387965,161610341
The Sixth Sense,1999-08-06,Thriller/Suspense,PG-13,293506292,485424724
The 13th Warrior,1999-08-27,Action,R,32698899,54262148
Breakfast of Champions,1999-09-17,Comedy,R,178287,295851
Mumford,1999-09-24,Comedy,R,4559569,7566363
"Mystery, Alaska",1999-10-01,Comedy,R,8891623,14755189
The Straight Story,1999-10-15,Drama,G,6197866,10111144
The Insider,1999-11-05,Drama,R,28965197,47794214
Toy Story 2,1999-11-19,Adventure,G,245852179,404450426
Cradle Will Rock,1999-12-08,Drama,R,2899970,4609153
Deuce Bigalow: Male Gigolo,1999-12-10,Comedy,R,65535067,106921374
Bicentennial Man,1999-12-17,Drama,PG,58220776,94838225
Play it to the Bone,1999-12-24,Comedy,R,8427204,13180524
Fantasia 2000 (IMAX),2000-01-01,Musical,G,60507228,94852354
Gun Shy,2000-02-04,Comedy,R,1638202,2562155
The Tigger Movie,2000-02-11,Adventure,G,45542421,71228678
Mission to Mars,2000-03-10,Adventure,PG,60874615,95208344
High Fidelity,2000-03-31,Comedy,R,27277055,42661516
Keeping the Faith,2000-04-14,Romantic Comedy,PG-13,37036404,57925202
Dinosaur,2000-05-19,Adventure,PG,137748063,215438985
Shanghai Noon,2000-05-26,Western,PG-13,56932305,89042541
Gone in 60 Seconds,2000-06-09,Action,PG-13,101643008,158970411
Fantasia 2000 (Theatrical Release),2000-06-16,Musical,G,9103630,14238144
The Kid,2000-07-07,Comedy,PG,69688384,108993148
Coyote Ugly,2000-08-04,Drama,PG-13,60786269,95070168
The Crew,2000-08-25,Comedy,PG-13,13019253,20362201
Duets,2000-09-15,Drama,R,4734235,7404372
Remember the Titans,2000-09-29,Drama,PG,115654751,180742479
Unbreakable,2000-11-22,Thriller/Suspense,PG-13,94999143,148208901
102 Dalmatians,2000-11-22,Comedy,G,66941559,104055039
The Emperor's New Groove,2000-12-15,Adventure,G,89296573,136789252
"O Brother, Where Art Thou?",2000-12-22,Comedy,PG-13,45506619,67922002
Double Take,2001-01-12,Action,PG-13,29823162,44418589
Recess: School's Out,2001-02-16,Comedy,G,36696761,54656124
Just Visiting,2001-04-06,Comedy,PG-13,4777007,7114869
Pearl Harbor,2001-05-25,Action,PG-13,198539855,295705112
Atlantis: The Lost Empire,2001-06-08,Adventure,PG,84052762,125188122
crazy/beautiful,2001-06-29,Drama,PG-13,16929123,25214223
The Princess Diaries,2001-08-03,Comedy,G,108244774,161218928
Bubble Boy,2001-08-24,Comedy,PG-13,5002310,7450434
Max Keeble's Big Move,2001-10-05,Comedy,PG,17292381,25749730
Corky Romano,2001-10-12,Comedy,PG-13,23978402,35705805
High Heels and Low Lifes,2001-10-26,,R,226792,337782
"Monsters, Inc.",2001-11-02,Adventure,G,289423425,416073179
Out Cold,2001-11-21,Comedy,PG-13,13906394,20700691
The Royal Tenenbaums,2001-12-14,Black Comedy,R,52353636,76758193
Beauty and the Beast (IMAX),2002-01-01,Musical,G,25487028,36980311
Frank McKlusky C.I.,2002-01-01,,,0,0
Snow Dogs,2002-01-18,Comedy,PG,81150692,117745317
The Count of Monte Cristo,2002-01-25,Drama,PG-13,54228104,78682079
Peter Pan: Return to Neverland,2002-02-15,Adventure,G,48430258,70269715
Reign of Fire,2002-02-19,Action,PG-13,43061982,62480631
Sorority Boys,2002-03-22,Comedy,R,10198766,14797862
The Rookie,2002-03-29,Drama,G,75600072,109691666
Big Trouble,2002-04-05,Comedy,PG-13,7262288,10537188
ESPN's Ultimate X - The Movie,2002-05-10,Documentary,PG,4197175,6089874
Bad Company,2002-06-07,Action,PG-13,30157016,43756218
Lilo & Stitch,2002-06-21,Adventure,PG,145771527,211506702
The Country Bears,2002-07-26,Adventure,G,16988996,24650121
Signs,2002-08-02,Thriller/Suspense,PG-13,227965690,330754439
Sen to Chihiro no Kamikakushi,2002-09-20,Adventure,PG,10049886,14338992
Sweet Home Alabama,2002-09-27,Comedy,PG-13,127214072,184521151
Moonlight Mile,2002-09-27,Drama,PG-13,6830957,9909094
Tuck Everlasting,2002-10-11,Drama,PG,19161999,27789959
The Santa Clause 2,2002-11-01,Comedy,G,139225854,201959095
Treasure Planet,2002-11-27,Adventure,PG,38120554,55189145
The Hot Chick,2002-12-13,Comedy,PG-13,35081550,50624654
25th Hour,2002-12-19,Drama,R,13084595,18325463
The Recruit,2003-01-31,Thriller/Suspense,PG-13,52784696,73793522
Shanghai Knights,2003-02-07,Adventure,PG-13,60470220,84537962
The Jungle Book 2,2003-02-14,Adventure,G,47901582,66966883
Bringing Down the House,2003-03-07,Comedy,PG-13,132675402,185481530
Piglet's Big Movie,2003-03-21,Comedy,G,23103423,32298812
Ghosts of the Abyss,2003-04-11,Documentary,G,17093668,23803108
Holes,2003-04-18,Drama,PG,67383924,94203395
The Lizzie McGuire Movie,2003-05-02,Comedy,PG,42734455,59743191
Finding Nemo,2003-05-30,Adventure,G,380529370,518148559
Pirates of the Caribbean: The Curse o…,2003-07-09,Adventure,PG-13,305411224,426967926
Freaky Friday,2003-08-06,Comedy,PG,110222438,154090360
Open Range,2003-08-15,Western,R,58331254,81547672
Cold Creek Manor,2003-09-19,Thriller/Suspense,R,21384035,29895090
Under the Tuscan Sun,2003-09-26,Comedy,PG-13,43601508,60944053
Veronica Guerin,2003-10-17,Drama,R,1569918,2194759
Brother Bear,2003-10-24,Adventure,G,85336277,119218333
The Haunted Mansion,2003-11-26,Comedy,PG,75817994,105775678
Calendar Girls,2003-12-19,Comedy,PG-13,31011616,42379650
Young Black Stallion,2003-12-25,Adventure,G,6751389,9254344
Teacher's Pet: The Movie,2004-01-16,Comedy,PG,6491969,8812764
Miracle,2004-02-06,Drama,PG,64378093,87392478
Confessions of a Teenage Drama Queen,2004-02-20,Comedy,PG,29331068,39816568
Hidalgo,2004-03-05,Western,PG-13,67286731,91340921
The Ladykillers,2004-03-26,Comedy,R,39692139,53881593
Home on the Range,2004-04-02,Comedy,PG,50026353,67910166
The Alamo,2004-04-09,Western,PG-13,22406362,30416359
Raising Helen,2004-05-28,Comedy,PG-13,37485528,50886144
Around the World in 80 Days,2004-06-16,Adventure,PG,24004159,32585356
America's Heart and Soul,2004-07-02,Documentary,Not Rated,314000,426246
King Arthur,2004-07-07,Adventure,PG-13,51877963,70423706
The Village,2004-07-30,Thriller/Suspense,PG-13,114197520,155021748
The Princess Diaries 2: Royal Engagement,2004-08-11,Romantic Comedy,G,95149435,129164207
Mr. 3000,2004-09-17,Comedy,PG-13,21800302,29593641
The Last Shot,2004-09-24,Comedy,R,463730,629502
Ladder 49,2004-10-01,Action,PG-13,74541707,101161045
The Incredibles,2004-11-05,Adventure,PG,261441092,354488708
National Treasure,2004-11-19,Adventure,PG,173005002,234069353
The Life Aquatic with Steve Zissou,2004-12-10,Comedy,R,24006726,32198655
Aliens of the Deep,2005-01-28,Documentary,G,8968684,11740942
Pooh's Heffalump Movie,2005-02-11,Adventure,G,18098433,23801835
The Pacifier,2005-03-04,Comedy,PG,113006880,148619029
Ice Princess,2005-03-18,Comedy,G,24381334,32064685
A Lot Like Love,2005-04-22,Comedy,PG-13,21835784,28716947
The Hitchhiker's Guide to the Galaxy,2005-04-29,Comedy,PG,51019112,67096891
Hauru no ugoku shiro,2005-06-10,Adventure,PG,4710455,6194870
Herbie: Fully Loaded,2005-06-22,Comedy,G,66010682,86812798
Dark Water,2005-07-08,Thriller/Suspense,PG-13,25473093,33500491
Sky High,2005-07-29,Adventure,PG,63939454,84088854
Valiant,2005-08-19,Adventure,G,19478106,25616292
Flightplan,2005-09-23,Thriller/Suspense,PG-13,89706988,117960425
The Greatest Game Ever Played,2005-09-30,Drama,PG,15331289,20162672
Shopgirl,2005-10-21,Drama,R,10284523,13519621
Chicken Little,2005-11-04,Adventure,G,135386665,177954661
"The Chronicles of Narnia: The Lion, t…",2005-12-09,Adventure,PG,291710957,381557539
Casanova,2005-12-25,Drama,R,11304403,14574087
Glory Road,2006-01-13,Drama,PG,42647449,54888236
Annapolis,2006-01-27,Drama,PG-13,17127992,22044113
Roving Mars,2006-01-27,Documentary,G,10407978,12948025
Eight Below,2006-02-17,Adventure,PG,81612565,105037235
The Shaggy Dog,2006-03-10,Comedy,PG,61123569,78667428
Stay Alive,2006-03-24,Horror,PG-13,23086480,29712825
The Wild,2006-04-14,Adventure,G,37384046,48114115
Stick It,2006-04-28,Comedy,PG-13,26910736,34634731
Goal! The Dream Begins,2006-05-12,Drama,PG,4283255,5512647
Cars,2006-06-09,Comedy,G,244082982,314140384
Pirates of the Caribbean: Dead Man’…,2006-07-07,Adventure,PG-13,423315812,544817142
